  BANCO   : 756 - BANCO COOPERATIVO DO BRASIL S/A|||
|||
AGENCIA  | TITULO  | UF| PRACA DE PAGAMENTO 
1|MATRIZ|DF|BRASILIA
2|CENTRO PROC.SERVIÇOS DE BH|MG|BELO HORIZONTE
14|PA - BOA VISTA|SC|JOINVILLE
100|CACHOEIRA DE MINAS|MG|CACHOEIRA DE MINAS
101|SICOOB PA - MATRIZ|MG|BELO HORIZONTE
102|SICOOB PA CONTAGEM|MG|CONTAGEM
103|SICOOB PA - TUPASSI|PR|TUPASSI
104|PA - VALPARAISO|SP|VALPARAISO
105|PA - COOPERACAO|PA|BELEM
106|PA - FEDERAL|PA|BELEM
107|PA - COECELPA|PA|BELEM
108|PA - COOPERMATER|PA|BELEM
109|COOPERDADOS|PA|BELEM
110|PA 15 - ANDIRA|PR|ANDIRA
111|PA - PRINCESA IZABEL|SC|JOINVILLE
112|PA - PIRABEIRABA|SC|JOINVILLE
113|PA - HMSJ|SC|JOINVILLE
114|PA - BOA VISTA|SC|JOINVILLE
115|PA - COSTA E SILVA|SC|JOINVILLE
116|PA - PMJ|SC|JOINVILLE
117|PA - RJ REGIONAL JOINVILLE|SC|JOINVILLE
118|PA - N. SENHORA DO DESTERRO|MG|UBERABA
119|PA NOVA CONTAGEM|MG|CONTAGEM
120|PA JOANESIA|MG|JOANESIA
121|PA - ELETROCRED|PA|BELEM
122|SICOOB PA 17 - SERTANóPOLIS|PR|SERTANOPOLIS
123|PA AGENCIA PEDRO CANARIO|ES|PEDRO CANARIO
124|PA MARIO CAMPOS|MG|MARIO CAMPOS
125|SICOOB PA - VERê|PR|VERE
126|SICOOB PA - PRANCHITA|PR|PRANCHITA
127|PA BARBACENA|MG|BARBACENA
128|PA 14 - COMODORO|MT|COMODORO
129|SICOOB INTEGRAçãO CARMINDO|MT|CUIABA
130|SICOOB INTEG. POSTO ZERO KM|MT|VARZEA GRANDE
131|SICOOB INTEG. DIST. INDUSTRIAL|MT|CUIABA
132|SICOOB PA - SITIO NOVO|MA|SITIO NOVO
133|SICOOB PA - MARIO CAMPOS|MG|MARIO CAMPOS
134|PA IRIRIU|SC|JOINVILLE
135|PA BARBACENA|MG|BARBACENA
136|SICOOB PA FRANCA I - SP|SP|FRANCA
137|PA04 - POSTO DE ATEND. FORO 10|DF|BRASILIA
138|PA05 - POSTO DE ATEND. TRT 10|DF|BRASILIA
139|PA06 - POSTO DE ATEND. - MPT|DF|BRASILIA
140|PA 01 POSTO DE ATEND. TST|DF|BRASILIA
141|PA 02 POSTO DE ATEND. TRT 8|PA|BELEM
142|SICOOB PA - TAPAJOS|PR|PATO BRANCO
143|SICOOB PA CAMPINA DA LAGOA|PR|CAMPINA DA LAGOA
144|SICOOB PA - ARAPIRACA|AL|ARAPIRACA
145|SICOOB PA IPUA|SP|IPUA
146|SICOOB PA - GUARANIACU|PR|GUARANIACU
147|PA CENTRO|MG|ARAGUARI
148|SICOOB PA - BRODOWSKI|SP|BRODOWSKI
149|SICOOB PA - BRUMADINHO|MG|BRUMADINHO
150|PARACATU AV OLEGARIO MACIEL|MG|PARACATU
151|SICOOB PA ITAPUA|RO|ITAPUA DO OESTE
152|SICOOB PA - IBIUNA|SP|IBIUNA
153|SICOOB PA ITAIPULANDIA|PR|ITAIPULANDIA
154|SICOOB PA - NAZARE|PA|BELEM
155|SICOOB PA - SAO CRISTOVAO|SC|CONCORDIA
156|SICOOB PA FEDERAL ALIANCA|MS|CAMPO GRANDE
157|SICOOB PA IPIRANGA|SP|RIBEIRAO PRETO
158|SICOOB PA PIEN|PR|PIEN
159|SICOOB PA - FAINA|GO|FAINA
160|SICOOB PA - SAO JOSE DO CEDRO|SC|SAO JOSE DO CEDRO
161|SICOOB PA - GUARUJA DO SUL|SC|GUARUJA DO SUL
162|SICOOB PA - DIONISIO CERQUEIRA|SC|DIONISIO CERQUEIRA
163|SICOOB PA FLOR DA SERRA DO SUL|PR|FLOR DA SERRA DO S
165|SICOOB PA - SCRP|SP|SANTA CRUZ DO RIO
166|SICOOB PA - 18 RIBEIRAO CLARO|PR|RIBEIRAO CLARO
167|SICOOB PA - INDIANOPOLIS|MG|INDIANOPOLIS
168|SICOOB PA 19 - JATAIZINHO|PR|JATAIZINHO
169|SICOOB PA - CRUZEIRO DO SUL|AC|CRUZEIRO DO SUL
170|SICOOB PA - VOTORANTIM|SP|VOTORANTIM
171|SICOOB PA - SANTA CRUZ DO SUL|RS|SANTA CRUZ DO SUL
172|PA ALFREDO VASCONCELOS|MG|ALFREDO VASCONCELO
173|PA MADRE DE DEUS DE MINAS|MG|MADRE DE DEUS DE M
174|PA IBERTIOGA|MG|IBERTIOGA
175|PA MORRO DO FERRO|MG|OLIVEIRA
176|SICOOB PA - SEBRAE|PE|RECIFE
177|SICOOB PA - ITUTINGA|MG|ITUTINGA
178|PA NAZARENO|MG|NAZARENO
179|PA PRADOS|MG|PRADOS
180|PA DORES DE CAMPOS|MG|DORES DE CAMPOS
181|SICOOB PA - ITAI|SP|ITAI
182|PA RESENDE COSTA|MG|RESENDE COSTA
183|PA CORONEL XAVIER CHAVES|MG|CORONEL XAVIER CHA
184|SICOOB PA RITAPOLIS|MG|RITAPOLIS
185|PA MERCES DE AGUA LIMPA|MG|SAO TIAGO
186|SICOOB PA - SAO TIAGO|MG|SAO TIAGO
187|PA CONCEICAO DA BARRA DE MINAS|MG|CONCEICAO DA BARRA
188|SICOOB PA - RIO VERMELHO|MG|RIO VERMELHO
189|SICOOB PA - NOVA CALIFORNIA|RO|PORTO VELHO
191|PA AGENCIA BOM JARDIM|RJ|BOM JARDIM
192|SICOOB PA PINTOPOLIS|MG|PINTOPOLIS
193|SICOOB PA - CANTAGALO|PR|CANTAGALO
194|SICOOB PA 20 - PALHANO|PR|LONDRINA
195|SICOOB PA - SAO JUDAS|MG|SAO SEBASTIAO DO P
196|SICOOB PA - RIBEIRAO PRETO II|SP|RIBEIRAO PRETO
197|SICOOB PA - BARRINHA|SP|BARRINHA
198|SICOOB PA - TROPICAL|MT|RONDONOPOLIS
199|SICOOB PA - SANTO HIPOLITO|MG|SANTO HIPOLITO
200|SICOOB PA - EMBRAPA|DF|BRASILIA
201|SICOOB PA PJ E PF RELACIONADOS|DF|BRASILIA
202|SICOOB PA - CDL|MG|MONTES CLAROS
203|SICOOB PA - CATOLE|PB|CAMPINA GRANDE
204|SICOOB PA CASTANHAL|PA|CASTANHAL
205|SICOOB PA - PINHAO|PR|PINHAO
206|SICOOB PA - ELDORADO|MG|CONTAGEM
207|SICOOB PA - PATAGONIA|BA|VITORIA DA CONQUIS
208|SICOOB PA - CREA|MG|BELO HORIZONTE
209|SICOOB PA - SAO LOURENCO|MG|SAO LOURENCO
210|SICOOB PA - 01|SP|SOROCABA
211|SICOOB PA - CONTAGEM|MG|CONTAGEM
212|SICOOB PA - ACUCENA|MG|ACUCENA
213|SICOOB PA - PADRE EUSTAQUIO|MG|JANAUBA
214|SICOOB 04 PA - IMPERATRIZ|MA|IMPERATRIZ
215|SICOOB PA - GENERAL OSORIO|PR|CASCAVEL
216|SICOOB PA 02  MIRANTE DA SERRA|RO|MIRANTE DA SERRA
217|SICOOB PA 07 - RONDOMINAS|RO|OURO PRETO DO OEST
218|SICOOB PA - PASSO FUNDO|RS|PASSO FUNDO
219|SICOOB PA - USINA DE FURNAS|MG|SAO JOSE DA BARRA
220|SICOOB PA - COLORADO|PR|COLORADO
221|SICOOB PA - SANTO INACIO|PR|SANTO INACIO
222|SICOOB PA - CENTENARIO DO SUL|PR|CENTENARIO DO SUL
223|SICOOB PA - EXTREMA|MG|EXTREMA
224|SICOOB PA-01 CREDFAZ SAO PAULO|SP|SAO PAULO
225|02 CREDFAZ RIO DE JANEIRO|RJ|RIO DE JANEIRO
226|03 CREDFAZ BELO HORIZONTE|MG|BELO HORIZONTE
227|SICOOB PA - CORDISLANDIA|MG|CORDISLANDIA
228|SICOOB PA - ITANHANDU|MG|ITANHANDU
229|SICOOB PA - MARMELOPOLIS|MG|MARMELOPOLIS
230|SICOOB PA - NATERCIA|MG|NATERCIA
231|SICOOB PA - SENADOR AMARAL|MG|SENADOR AMARAL
232|SICOOB PA - HELIODORA|MG|HELIODORA
233|SICOOB PA- CONCEICAO DOS OUROS|MG|CONCEICAO DOS OURO
234|SICOOB PA - MUNHOZ|MG|MUNHOZ
235|SICOOB PA - VIRGINIA|MG|VIRGINIA
236|SICOOB PA - BORDA DA MATA|MG|BORDA DA MATA
237|SICOOB PA - SAO JOSE DO ALEGRE|MG|SAO JOSE DO ALEGRE
239|SICOOB PA - TURVOLANDIA|MG|TURVOLANDIA
240|SICOOB PA - CONGONHAL|MG|CONGONHAL
241|SICOOB PA - RIO CRESPO - RO|RO|RIO CRESPO
242|SICOOB PA - UMUARAMA|MG|UBERLANDIA
243|PA BRUMADINHO|MG|BRUMADINHO
