  BANCO   : 047 - BANCO DO ESTADO DE SERGIPE S.A. |||
|||
AGENCIA  | TITULO  | UF| PRACA DE PAGAMENTO 
2|ITABAIANA|SE|ITABAIANA
3|BOQUIM|SE|BOQUIM
4|NOSSA SENHORA DAS DORES|SE|NOSSA SENHORA DAS
5|AQUIDABA|SE|AQUIDABA
6|FREI PAULO|SE|FREI PAULO
7|PORTO DA FOLHA|SE|PORTO DA FOLHA
8|ESTANCIA|SE|ESTANCIA
9|LAGARTO|SE|LAGARTO
10|NEOPOLIS|SE|NEOPOLIS
11|SIQUEIRA CAMPOS|SE|ARACAJU
12|NOSSA SENHORA DA GLORIA|SE|NOSSA SENHORA DA G
13|ITABI|SE|ITABI
14|CENTRAL|SE|ARACAJU
15|DISTRITO INDUSTRIAL|SE|ARACAJU
16|ITAPORANGA D'AJUDA|SE|ITAPORANGA D'AJUDA
17|CARIRA|SE|CARIRA
18|LARANJEIRAS|SE|LARANJEIRAS
19|SIRIRI|SE|SIRIRI
20|CRISTINAPOLIS|SE|CRISTINAPOLIS
21|NOSSA SENHORA APARECIDA|SE|NOSSA SENHORA APAR
22|UMBAUBA|SE|UMBAUBA
23|POCO REDONDO|SE|POCO REDONDO
24|TOBIAS BARRETO|SE|TOBIAS BARRETO
26|RIO DE JANEIRO|RJ|RIO DE JANEIRO
27|SANTO AMARO DAS BROTAS|SE|SANTO AMARO DAS BR
28|SANTO ANTONIO|SE|ARACAJU
29|SAO JOSE|SE|ARACAJU
30|PEDRA MOLE|SE|PEDRA MOLE
31|ITABAIANINHA|SE|ITABAIANINHA
32|SIMAO DIAS|SE|SIMAO DIAS
33|JAPOATA|SE|JAPOATA
34|JOAO PESSOA(CALCADAO)|SE|ARACAJU
35|ATALAIA|SE|ARACAJU
36|CARMOPOLIS|SE|CARMOPOLIS
37|RIBEIROPOLIS|SE|RIBEIROPOLIS
38|CANHOBA|SE|CANHOBA
39|AREIA BRANCA|SE|AREIA BRANCA
40|POCO VERDE|SE|POCO VERDE
41|JAPARATUBA|SE|JAPARATUBA
43|BARAO DE MARUIM|SE|ARACAJU
44|CAPELA|SE|CAPELA
45|CAMPO DO BRITO|SE|CAMPO DO BRITO
46|SAO PAULO|SP|SAO PAULO
47|LUIZ GARCIA|SE|ARACAJU
48|AUGUSTO LEITE|SE|ARACAJU
49|MALHADOR|SE|MALHADOR
50|SANTOS DUMONT|SE|ARACAJU
51|METRO MAGAZIN|SE|ARACAJU
52|PROPRIA|SE|PROPRIA
53|ROSARIO DO CATETE|SE|ROSARIO DO CATETE
54|JOSE FIGUEIREDO|SE|ARACAJU
55|SHOPPING JARDINS|SE|ARACAJU
56|NOSSA SENHORA DO SOCORRO|SE|NOSSA SENHORA DO S
57|EDUARDO GOMES|SE|SAO CRISTOVAO
58|METRO ANTONIO CARLOS FRANCO|SE|ARACAJU
59|PIRAMBU|SE|PIRAMBU
60|CANINDE DE SAO FRANCISCO|SE|CANINDE DE SAO FRA
61|METRO SHOPPING RIOMAR|SE|ARACAJU
62|RIACHUELO|SE|RIACHUELO
63|BARRA|SE|BARRA DOS COQUEIRO
64|PONTO NOVO|SE|ARACAJU
65|METRO AUGUSTO FRANCO|SE|ARACAJU
66|INDIAROBA|SE|INDIAROBA
67|GOVERNADOR MARCELO DEDA CHAVES|SE|ARACAJU
68|GENTIL BARBOSA|SE|ARACAJU
