  BANCO   : 021 - BANCO DO ESTADO DO ESPIRITO SANTO S.A.|||
|||
AGENCIA  | TITULO  | UF| PRACA DE PAGAMENTO 
2|ACIOLI|ES|JOAO NEIVA
3|SAO DOMINGOS DO NORTE|ES|SAO DOMINGOS DO NO
4|ALTO LAJE|ES|CARIACICA
5|SAO JOAO DO SOBRADO|ES|PINHEIROS
8|ARACRUZ CELULOSE S/A|ES|ARACRUZ
10|B.N.H.|ES|CACHOEIRO DE ITAPE
12|BELA AURORA|ES|CARIACICA
13|BR 101 - NORTE|ES|SAO MATEUS
16|SAO JOSE DAS FRUTEIRAS|ES|VARGEM ALTA
19|SANTA CECILIA|ES|CARIACICA
26|OLEGARINHO|ES|CARIACICA
27|CORREGO D'AGUA|ES|LINHARES
31|HOSPITAL DORIO SILVA|ES|SERRA
34|GOVERNADOR LINDEMBERG|ES|GOVERNADOR LINDENB
35|GUARANA|ES|ARACRUZ
36|IBES|ES|VILA VELHA
38|IRUPI|ES|IRUPI
39|ITAIPAVA|ES|MARATAIZES
40|ITAOCA|ES|CACHOEIRO DE ITAPE
42|ITAPOA|ES|VILA VELHA
43|JACUPEMBA|ES|ARACRUZ
44|JARDIM CAMBURI|ES|VITORIA
45|JUNTA COMERCIAL DO E.S.|ES|VITORIA
47|LAJINHA|ES|PANCAS
49|MARECHAL FLORIANO|ES|MARECHAL FLORIANO
50|MARIA DAS GRACAS|ES|COLATINA
51|MARUIPE|ES|VITORIA
54|MUQUICABA|ES|GUARAPARI
55|NOVA ALMEIDA|ES|SERRA
56|NOVO BRASIL|ES|COLATINA
BANCO|: 021 - BANCO DO ESTADO DO ESPIRITO|SANTO S.A.|PAGINA :   3
57|HOSPITAL SANTA MONICA|ES|VILA VELHA
58|PARAJU|ES|DOMINGOS MARTINS
59|LARANJEIRAS|ES|SERRA
60|SANTO ANTONIO DO CANAA|ES|SANTA TERESA
62|PEDRA AZUL|ES|DOMINGOS MARTINS
63|PEQUIA|ES|IUNA
64|PIACU|ES|MUNIZ FREIRE
65|PONTO BELO|ES|PONTO BELO
66|PORTO CANOA|ES|SERRA
67|POLICIA MILITAR _ QUATEL DO C.|ES|VITORIA
68|P.M. CACHOEIRO DE ITAPEMIRIM|ES|CACHOEIRO DE ITAPE
69|P.M. GUARAPARI|ES|GUARAPARI
72|P.M. LINHARES|ES|LINHARES
73|P.M. SAO MATEUS|ES|SAO MATEUS
74|P.M. VILA VELHA|ES|VILA VELHA
76|PRAIA DO SUA|ES|VITORIA
78|CAMARA MUNICIPAL DE VITORIA|ES|VITORIA
80|RETA DA PENHA|ES|VITORIA
81|ITAPARICA|ES|VILA VELHA
82|SANTO ANTONIO|ES|VITORIA
83|JARDIM DA PENHA|ES|VITORIA
84|ESPLANADA|ES|VITORIA
85|FORUM DE VITORIA|ES|VITORIA
86|PORTO DE SANTANA|ES|CARIACICA
87|ITACIBA|ES|CARIACICA
88|BANDES|ES|VITORIA
89|SAO TORQUATO|ES|VILA VELHA
90|JACARAIPE|ES|SERRA
91|VILA VELHA|ES|VILA VELHA
92|VIANA|ES|VIANA
93|ESCELSA|ES|SERRA
94|DETRAN|ES|VITORIA
95|CODESA|ES|VITORIA
96|REDE GAZETA|ES|VITORIA
97|P.M. VITORIA|ES|VITORIA
98|CENTRO DO COMERCIO DO CAFE|ES|VITORIA
99|CEASA|ES|CARIACICA
100|CARIACICA|ES|CARIACICA
101|GLORIA|ES|VILA VELHA
102|JARDIM AMERICA|ES|CARIACICA
103|MOSCOSO|ES|VITORIA
104|CENTRAL|ES|VITORIA
105|CAMPO GRANDE|ES|CARIACICA
106|JUCUTUQUARA|ES|VITORIA
