  BANCO   : 003 - BANCO DA AMAZONIA S.A. |||
|||
AGENCIA  | TITULO  | UF| PRACA DE PAGAMENTO 
2|ABAETETUBA|PA|ABAETETUBA
4|ALTAMIRA|PA|ALTAMIRA
5|BACABAL|MA|BACABAL
6|BALSAS|MA|BALSAS
7|BELEM-CENTRO|PA|BELEM
8|BENJAMIN CONSTANT|AM|BENJAMIN CONSTANT
9|BOA VISTA|RR|BOA VISTA
11|BRASILIA|DF|BRASILIA
12|BRASILEIA|AC|BRASILEIA
14|CACERES|MT|CACERES
15|CAMETA|PA|CAMETA
16|CAPANEMA|PA|CAPANEMA
17|CASTANHAL|PA|CASTANHAL
18|COARI|AM|COARI
19|CODO|MA|CODO
20|COROATA|MA|COROATA
21|CRUZEIRO DO SUL|AC|CRUZEIRO DO SUL
22|CUIABA|MT|CUIABA
23|EIRUNEPE|AM|EIRUNEPE
24|FORTALEZA|CE|FORTALEZA
25|FEIJO|AC|FEIJO
26|GOIANIA|GO|GOIANIA
27|GUAJARA MIRIM|RO|GUAJARA-MIRIM
28|GUIRATINGA|MT|GUIRATINGA
30|IMPERATRIZ|MA|IMPERATRIZ
31|ITACOATIARA|AM|ITACOATIARA
32|MACAPA|AP|MACAPA
33|MANAUS-CENTRO|AM|MANAUS
34|MARABA|PA|MARABA
35|MAUES|AM|MAUES
36|MONTE ALEGRE|PA|MONTE ALEGRE
37|NATIVIDADE|TO|NATIVIDADE
38|ORIXIMINA|PA|ORIXIMINA
39|PARINTINS|AM|PARINTINS
40|PEDRO AFONSO|TO|PEDRO AFONSO
41|PORTO ALEGRE|RS|PORTO ALEGRE
42|PORTO NACIONAL|TO|PORTO NACIONAL
43|PORTO VELHO|RO|PORTO VELHO
44|RIO BRANCO|AC|RIO BRANCO
45|RIO DE JANEIRO|RJ|RIO DE JANEIRO
46|SANTAREM|PA|SANTAREM
47|SAO LUIS-CENTRO|MA|SAO LUIS
48|SAO PAULO|SP|SAO PAULO
49|SENA MADUREIRA|AC|SENA MADUREIRA
50|SOURE|PA|SOURE
51|TARAUACA|AC|TARAUACA
52|TEREZINA|PI|TERESINA
53|TOCANTINOPOLIS|TO|TOCANTINOPOLIS
54|XAPURI|AC|XAPURI
55|CAXIAS|MA|CAXIAS
56|HUMAITA|AM|HUMAITA
57|LABREA|AM|LABREA
58|DIANOPOLIS|TO|DIANOPOLIS
59|GURUPI|TO|GURUPI
60|MIRACEMA DO TOCANTINS|TO|MIRACEMA DO TOCANT
61|SANTA INES|MA|SANTA INES
62|DOM AQUINO|MT|DOM AQUINO
64|PARAGOMINAS|PA|PARAGOMINAS
66|IGARAPE-MIRI|PA|IGARAPE-MIRI
67|BARRA DO GARCAS|MT|BARRA DO GARCAS
68|CAROLINA|MA|CAROLINA
69|PINHEIRO|MA|PINHEIRO
70|BELEM-PEDREIRA|PA|BELEM
73|JI-PARANA|RO|JI-PARANA
75|RUROPOLIS|PA|RUROPOLIS
76|CONCEICAO DO ARAGUAIA|PA|CONCEICAO DO ARAGU
77|DOM PEDRO|MA|DOM PEDRO
78|TOME-ACU|PA|TOME-ACU
81|S.MIGUEL DA GUAMA|PA|SAO MIGUEL DO GUAM
84|MANAUS METROPOLITANA|AM|MANAUS
85|ALTA FLORESTA|MT|ALTA FLORESTA
86|BELEM-VAL-DE-CANS|PA|BELEM
88|ALTO PARNAIBA|MA|ALTO PARNAIBA
89|NOVA OLINDA DO NORTE|AM|NOVA OLINDA DO NOR
91|NORTELANDIA|MT|NORTELANDIA
93|GUARAI|TO|GUARAI
94|VILHENA|RO|VILHENA
95|CARACARAI|RR|CARACARAI
96|CAMPO GRANDE|MS|CAMPO GRANDE
97|TANGARA DA SERRA|MT|TANGARA DA SERRA
98|ESPERANTINOPOLIS|MA|ESPERANTINOPOLIS
99|CACOAL|RO|CACOAL
100|ARIQUEMES|RO|ARIQUEMES
101|SAO FELIX DO ARAGUAIA|MT|SAO FELIX DO ARAGU
102|BURITI BRAVO|MA|BURITI BRAVO
103|ALENQUER|PA|ALENQUER
104|PONTA DE PEDRAS|PA|PONTA DE PEDRAS
105|TUCURUI|PA|TUCURUI
106|BOCA DO ACRE|AM|BOCA DO ACRE
108|BRAGANCA|PA|BRAGANCA
110|SAO JOSE DO RIO CLARO|MT|SAO JOSE DO RIO CL
113|MANACAPURU|AM|MANACAPURU
114|ITAITUBA|PA|ITAITUBA
115|CARAUARI|AM|CARAUARI
117|CARAJAS|PA|PARAUAPEBAS
118|SAO FELIX DO XINGU|PA|SAO FELIX DO XINGU
119|OBIDOS|PA|OBIDOS
120|SAO LUIS-JOAO PAULO|MA|SAO LUIS
122|RONDONOPOLIS|MT|RONDONOPOLIS
123|BELO HORIZONTE|MG|BELO HORIZONTE
124|ANANINDEUA|PA|ANANINDEUA
125|ACAILANDIA|MA|ACAILANDIA
126|ARAGUAINA|TO|ARAGUAINA
127|PALMAS|TO|PALMAS
128|BELEM-REDUTO|PA|BELEM
129|ANANINDEUA-CASTANHEIRA|PA|ANANINDEUA
130|PACAJA|PA|PACAJA
131|AG. MIRANORTE|TO|MIRANORTE
132|PAA-ALMAS|TO|ALMAS
133|NOVO PROGRESSO|PA|NOVO PROGRESSO
134|BURITIS|RO|BURITIS
135|PAB-CIA.VALE DO RIO DOCE|PA|PARAUAPEBAS
136|XAPURI (AC)|AC|XAPURI
137|PAA PONTA DE PEDRAS (PA)|PA|PONTA DE PEDRAS
138|SUPERINTENDENCIA DA AMAZONIA|PA|BELEM
139|CAIXA DE ASSIST.FUNC.B.AMAZONI|PA|BELEM
140|COLEGIO MODERNO|PA|BELEM
141|PAB E.M.T.U|AM|MANAUS
142|PAB SUFRAMAI|AM|MANAUS
143|PAB SUFRAMA II|AM|MANAUS
144|PAB - STUDIO 5|AM|MANAUS
145|PAB T.R.E|MA|SAO LUIS
146|PAB-REDENCAO|PA|REDENCAO
147|NOVO REPARTIMENTO|PA|NOVO REPARTIMENTO
148|PAB-MACIEL|MA|SAO LUIS
149|GUAJAJARA|MA|SAO LUIS
152|COLINAS DO TOCANTINS|TO|COLINAS DO TOCANTI
153|ROLIM DE MOURA|RO|ROLIM DE MOURA
154|RIO BRANCO METROPOLITANA|AC|RIO BRANCO
155|PARAISO DO TOCANTINS|TO|PARAISO DO TOCANTI
156|URUARA|PA|URUARA
157|ESTREITO|MA|ESTREITO
158|ICOARACI|PA|BELEM
159|LUCAS DO RIO VERDE|MT|LUCAS DO RIO VERDE
160|NOVA IPIXUNA|PA|NOVA IPIXUNA
161|PAB-INFRAERO|AM|MANAUS
162|SANTANA|AP|SANTANA
163|SINOP|MT|SINOP
164|TAILANDIA|PA|TAILANDIA
165|TUCUMA|PA|TUCUMA
166|CUJUBIM|RO|CUJUBIM
167|ARAGUATINS|TO|ARAGUATINS
168|RONDON DO PARA|PA|RONDON DO PARA
169|CANAA DOS CARAJAS|PA|CANAA DOS CARAJAS
170|VITORIA DO MEARIM - MA|MA|VITORIA DO MEARIM
171|XAMBIOA|TO|XAMBIOA
172|PAB  UNIMED SANTAREM|PA|SANTAREM
173|PAA PLACAS|PA|PLACAS
174|XINGUARA PA|PA|XINGUARA
175|DOM ELISEU|PA|DOM ELISEU
176|TEFE|AM|TEFE
177|VARZEA GRANDE|MT|VARZEA GRANDE
178|EXTREMA|RO|PORTO VELHO
179|ELDORADO DOS CARAJAS|PA|ELDORADO DO CARAJA
181|LARANJAL DO JARI|AP|LARANJAL DO JARI
182|MANAUS CACHOEIRINHA|AM|MANAUS
183|PALMAS METROPOLITANA|TO|PALMAS
184|BELEM - ALMIRANTE BARROSO|PA|BELEM
185|MARABA CIDADE NOVA|PA|MARABA
186|ARAGUACU|TO|ARAGUACU
187|JACUNDA PA|PA|JACUNDA
188|JARU|RO|JARU
189|PIMENTA BUENO|RO|PIMENTA BUENO
191|PORTO VELHO METRO|RO|PORTO VELHO
192|MANACAPURU|AM|MANACAPURU
193|SAO MIGUEL DO GUAPORE|RO|SAO MIGUEL DO GUAP
194|PLACIDO DE CASTRO|AC|PLACIDO DE CASTRO
195|CEREJEIRAS|RO|CEREJEIRAS
196|SANTANA DO ARAGUAIA - PA|PA|SANTANA DO ARAGUAI
3358|EMPRESARIAL VALE DO PARAIBA|SP|SAO JOSE DOS CAMPO
