  BANCO   : 001 - BANCO DO BRASIL S.A.|||
|||
AGENCIA  | TITULO  | UF| PRACA DE PAGAMENTO 
1|RIO DE JANEIRO RJ|RJ|RIO DE JANEIRO
2|MANAUS|AM|MANAUS
3|PRES.VARGAS-BELEM PA|PA|BELEM
4|SANTOS SP|SP|SANTOS
5|CAMPOS GOYTACAZES RJ|RJ|CAMPOS DOS GOYTACA
6|SALVADOR BA|BA|SALVADOR
7|RECIFE CENTRO PE|PE|RECIFE
8|SETOR PUBLICO-FORTALEZA CE|CE|FORTALEZA
9|PRACA TIRADENTES - CURITIBA PR|PR|CURITIBA
10|PORTO ALEGRE  RS|RS|PORTO ALEGRE
11|JOAO PESSOA - CENTRO PB|PB|JOAO PESSOA
12|TRES CORACOES MG|MG|TRES CORACOES
13|MACEIO AL|AL|MACEIO
14|CORUMBA MS|MS|CORUMBA
15|UBERABA MG|MG|UBERABA
16|FLORIANOPOLIS SC|SC|FLORIANOPOLIS
17|ARACAJU SE|SE|ARACAJU
18|SAO PAULO SP|SP|SAO PAULO
19|ILHEUS BA|BA|ILHEUS
20|SAO LUIS  MA|MA|SAO LUIS
21|VITORIA-CENTRO|ES|VITORIA
22|NATAL CENTRO RN|RN|NATAL
23|PARNAIBA PI|PI|PARNAIBA
24|EMPRESA JUIZ DE FORA|MG|JUIZ DE FORA
25|CATAGUASES MG|MG|CATAGUASES
26|CARANGOLA MG|MG|CARANGOLA
27|JAU SP|SP|JAU
28|RIBEIRAO PRETO SP|SP|RIBEIRAO PRETO
29|PELOTAS RS|RS|PELOTAS
30|PONTA GROSSA PR|PR|PONTA GROSSA
31|BARRETOS SP|SP|BARRETOS
32|VARGINHA MG|MG|VARGINHA
33|BELO HORIZONTE MG|MG|BELO HORIZONTE
34|BAGE RS|RS|BAGE
35|SANTANA LIVRAMENTO RS|RS|SANTANA DO LIVRAME
36|MOSSORO|RN|MOSSORO
37|BAURU SP|SP|BAURU
38|JOINVILLE SC|SC|JOINVILLE
39|CAMOCIM CE|CE|CAMOCIM
40|SAO FELIX BA|BA|SAO FELIX
41|FEIRA DE SANTANA BA|BA|FEIRA DE SANTANA
42|CACHOEIRA DO SUL  RS|RS|CACHOEIRA DO SUL
43|IPAMERI GO|GO|IPAMERI
44|TERESINA CENTRO PI|PI|TERESINA
45|URUGUAIANA RS|RS|URUGUAIANA
46|CUIABA MT|MT|CUIABA
47|ABATIA PR|PR|ABATIA
48|AFONSO PENA MS|MS|CAMPO GRANDE
49|PENEDO AL|AL|PENEDO
50|CATANDUVA SP|SP|CATANDUVA
51|MACAE RJ|RJ|MACAE
52|CAMPINAS SP|SP|CAMPINAS
53|FRANCA SP|SP|FRANCA
54|BEBEDOURO SP|SP|BEBEDOURO
55|CHAVANTES SP|SP|CHAVANTES
56|PIRACICABA SP|SP|PIRACICABA
57|SAO JOSE RIO PRETO  SP|SP|SAO JOSE DO RIO PR
58|LINS SP|SP|LINS
59|SANTO AMARO BA|BA|SANTO AMARO
60|JEQUIE BA|BA|JEQUIE
61|TEOFILO OTONI MG|MG|TEOFILO OTONI
62|BARBACENA MG|MG|BARBACENA
63|CAMPINA GRANDE PB|PB|CAMPINA GRANDE
64|GUAXUPE MG|MG|GUAXUPE
65|SAO JOAO DA BOA VISTA SP|SP|SAO JOAO DA BOA VI
66|SAO JOSE DO RIO PARDO SP|SP|SAO JOSE DO RIO PA
67|GARANHUNS PE|PE|GARANHUNS
68|ARCOVERDE PE|PE|ARCOVERDE
69|JUAZEIRO BA|BA|JUAZEIRO
70|ITABUNA BA|BA|ITABUNA
71|RIO BRANCO AC|AC|RIO BRANCO
72|NITEROI RJ|RJ|NITEROI
73|BARRA DO PIRAI  RJ|RJ|BARRA DO PIRAI
74|ITAPERUNA RJ|RJ|ITAPERUNA
75|ACARI RN|RN|ACARI
76|TAUBATE SP|SP|TAUBATE
77|PIRAJU SP|SP|PIRAJU
78|PONTA PORA MS|MS|PONTA PORA
79|BOTUCATU SP|SP|BOTUCATU
80|PETROPOLIS RJ|RJ|PETROPOLIS
81|NOVA IGUACU RJ|RJ|NOVA IGUACU
82|ARARAQUARA SP|SP|ARARAQUARA
83|CACHOEIRO ITAPEMIRIM ES|ES|CACHOEIRO DE ITAPE
84|RIO GRANDE RS|RS|RIO GRANDE
85|SOBRAL CE|CE|SOBRAL
86|SETOR PUBLICO GOIANIA GO|GO|GOIANIA
87|CATETE RJ|RJ|RIO DE JANEIRO
88|PONTE NOVA MG|MG|PONTE NOVA
89|CAXIAS DO SUL  RS|RS|CAXIAS DO SUL
90|ARAGUARI MG|MG|ARAGUARI
91|MADUREIRA RJ|RJ|RIO DE JANEIRO
92|PASSO FUNDO RS|RS|PASSO FUNDO
93|BANDEIRA RJ|RJ|RIO DE JANEIRO
94|CRATO CE|CE|CRATO
95|BLUMENAU SC|SC|BLUMENAU
96|FLORIANO PI|PI|FLORIANO
97|PRESIDENTE PRUDENTE  SP|SP|PRESIDENTE PRUDENT
98|UBERLANDIA MG|MG|UBERLANDIA
99|CAJAZEIRAS PB|PB|CAJAZEIRAS
100|JACAREZINHO PR|PR|JACAREZINHO
101|MEIER RJ|RJ|RIO DE JANEIRO
