BANCO : 318 - BANCO BMG S.A.|||
|||
AGENCIA  | TITULO  | UF| PRACA DE PAGAMENTO 
1|MATRIZ|MG|BELO HORIZONTE
2|SAO PAULO|SP|SAO PAULO
4|RIO DE JANEIRO|RJ|RIO DE JANEIRO
5|SAO PAULO|SP|SAO PAULO
6|CURITIBA|PR|CURITIBA
7|PORTO ALEGRE|RS|PORTO ALEGRE
8|BRASILIA|DF|BRASILIA
9|NATAL|RN|NATAL
10|FORTALEZA|CE|FORTALEZA
12|RECIFE|PE|RECIFE
13|FILIAL BELEM PA|PA|BELEM
14|FILIAL MANAUS AM|AM|MANAUS
15|ARACAJU|SE|ARACAJU
16|SALVADOR-BA|BA|SALVADOR
17|CAMPINAS|SP|CAMPINAS
18|SANTO ANDRE|SP|SANTO ANDRE
19|SANTO AMARO|SP|SAO PAULO
20|IPATINGA|MG|IPATINGA
21|JOINVILLE|SC|JOINVILLE
22|FILIAL MACAPA|AP|MACAPA
23|FILIAL TERESINA|PI|TERESINA
24|FILIAL SAO LUIZ|MA|SAO LUIS
25|JUDIAI|SP|JUNDIAI
26|JUNDIAI|SP|JUNDIAI
27|FLORIANOPOLIS|SC|FLORIANOPOLIS
28|SANTOS|SP|SANTOS
29|MARINGA|PR|MARINGA
30|PORTO ALEGRE|RS|PORTO ALEGRE
31|MANAUS|AM|MANAUS
32|GOIANIA|GO|GOIANIA
33|SALVADOR - BA|BA|SALVADOR
35|FILIAL VITORIA|ES|VITORIA
38|AGENCIA PALMAS - TO|TO|PALMAS
39|FILIAL - MACAPA - AP|AP|MACAPA
41|AGENCIA CAMPO GRANDE|MS|CAMPO GRANDE
42|FILIAL NATAL - RN|RN|NATAL
43|FILIAL BELEM PA|PA|BELEM
44|AGENCIA RUA DIREITA|SP|SAO PAULO
48|AGENCIA ENGENHAO|RJ|RIO DE JANEIRO
49|AGENCIA PECHINHA|RJ|RIO DE JANEIRO
51|AGENCIA BRASILIA ED CARIOCA|DF|BRASILIA
52|AGENCIA CURITIBA II|PR|CURITIBA
56|AG MACEIO AL|AL|MACEIO
57|AG RECIFE|PE|RECIFE
58|AG FORTALEZA|CE|FORTALEZA
59|AG. JOAO PESSOA/PB|PB|JOAO PESSOA
61|AGÊNCIA CUIABÁ|MT|CUIABA
62|AGENCIA SAO LUIS - MA|MA|SAO LUIS
64|AGÊNCIA DE ARACAJU|SE|ARACAJU
88|AG PORTO ALEGRE|RS|PORTO ALEGRE
89|AG BH II|MG|BELO HORIZONTE
