  BANCO   : 004 - BANCO DO NORDESTE DO BRASIL S.A.|||
|||
AGENCIA  | TITULO  | UF| PRACA DE PAGAMENTO 
2|ALAGOA GRANDE|PB|ALAGOA GRANDE
3|MORRO DO CHAPEU|BA|MORRO DO CHAPEU
4|ANGICOS|RN|ANGICOS
5|ARACAJU|SE|ARACAJU
6|ARAPIRACA|AL|ARAPIRACA
7|BATALHA|AL|BATALHA
8|BEZERROS|PE|BEZERROS
9|CAMPINA GRANDE|PB|CAMPINA GRANDE
10|CAMPOS SALES|CE|CAMPOS SALES
11|CARIRA|SE|CARIRA
12|CATOLE DO ROCHA|PB|CATOLE DO ROCHA
13|CICERO DANTAS|BA|CICERO DANTAS
14|FEIRA DE SANTANA|BA|FEIRA DE SANTANA
15|FLORESTA|PE|FLORESTA
16|FORTALEZA-CENTRO|CE|FORTALEZA
17|GARANHUNS|PE|GARANHUNS
18|GARARU|SE|GARARU
19|GUANAMBI|BA|GUANAMBI
20|GUARABIRA|PB|GUARABIRA
21|IGUATU|CE|IGUATU
22|IRECE|BA|IRECE
23|ITAPORANGA|PB|ITAPORANGA
24|JAGUARIBE|CE|JAGUARIBE
25|JANUARIA|MG|JANUARIA
26|JARDIM DO SERIDO|RN|JARDIM DO SERIDO
27|JEQUIE|BA|JEQUIE
28|JOAO PESSOA|PB|JOAO PESSOA
29|JUAZEIRO DO NORTE|CE|JUAZEIRO DO NORTE
30|LIMOEIRO DO NORTE|CE|LIMOEIRO DO NORTE
31|MACEIO|AL|MACEIO
32|MATA GRANDE|AL|MATA GRANDE
33|MOSSORO|RN|MOSSORO
34|MONTES CLAROS|MG|MONTES CLAROS
35|NATAL|RN|NATAL
36|NOVA RUSSAS|CE|NOVA RUSSAS
37|OEIRAS|PI|OEIRAS
38|PARNAIBA|PI|PARNAIBA
39|PAU DOS FERROS|RN|PAU DOS FERROS
40|PESQUEIRA|PE|PESQUEIRA
41|PETROLINA|PE|PETROLINA
42|PORTEIRINHA|MG|PORTEIRINHA
43|QUIXERAMOBIM|CE|QUIXERAMOBIM
44|RECIFE-CENTRO|PE|RECIFE
45|SALGUEIRO|PE|SALGUEIRO
46|SALVADOR-CENTRO|BA|SALVADOR
47|SANTA CRUZ|RN|SANTA CRUZ
48|SAO BENEDITO|CE|SAO BENEDITO
49|S. RAIMUNDO NONATO|PI|SAO RAIMUNDO NONAT
50|SERTANIA|PE|SERTANIA
51|SIMAO DIAS|SE|SIMAO DIAS
52|SOBRAL|CE|SOBRAL
53|SOUSA|PB|SOUSA
54|SURUBIM|PE|SURUBIM
55|TAUA|CE|TAUA
56|TERESINA|PI|TERESINA
57|VALENCA DO PIAUI|PI|VALENCA DO PIAUI
58|ITABUNA|BA|ITABUNA
59|SAO LUIS|MA|SAO LUIS
60|SALINAS|MG|SALINAS
61|SANTO ANTONIO|RN|SANTO ANTONIO
62|CANINDE|CE|CANINDE
63|OURICURI|PE|OURICURI
64|RIO DE JANEIRO|RJ|RIO DE JANEIRO
66|PENEDO|AL|PENEDO
67|PATOS|PB|PATOS
68|FLORIANO|PI|FLORIANO
69|PROPRIA|SE|PROPRIA
70|BRASILIA DE MINAS|MG|BRASILIA DE MINAS
71|SAO PAULO|SP|SAO PAULO
72|LAVRAS DA MANGABEIRA|CE|LAVRAS DA MANGABEI
73|VITORIA DA CONQUISTA|BA|VITORIA DA CONQUIS
74|ITAMARAJU|BA|ITAMARAJU
75|METRO SALVADOR|BA|SALVADOR
76|METRO RECIFE|PE|RECIFE
77|PIRAPORA|MG|PIRAPORA
78|NOSSA SENHORA DAS DORES|SE|NOSSA SENHORA DAS
79|METRO FORTALEZA|CE|FORTALEZA
