  BANCO   : 237 - BANCO BRADESCO AS|||
|||
AGENCIA  | TITULO  | UF| PRACA DE PAGAMENTO 
1|MATRIZ|SP|OSASCO
2|MARILIA-CENTRO|SP|MARILIA
3|ARARAQUARA - CTO|SP|ARARAQUARA
4|ASSIS CENTRO|SP|ASSIS
5|GARCA|SP|GARCA
6|GETULINA|SP|GETULINA
7|LINS CENTRO|SP|LINS
8|POMPEIA|SP|POMPEIA
9|RANCHARIA|SP|RANCHARIA
10|TUPA CENTRO|SP|TUPA
11|VERA CRUZ|SP|VERA CRUZ
12|ANDRADINA|SP|ANDRADINA
13|BAURU-CENTRO|SP|BAURU
14|BIRIGUI CENTRO|SP|BIRIGUI
15|CAFELANDIA|SP|CAFELANDIA
16|CANDIDO MOTA|SP|CANDIDO MOTA
17|COSMORAMA|SP|COSMORAMA
18|DUARTINA|SP|DUARTINA
19|LUCELIA|SP|LUCELIA
20|MIRANDOPOLIS|SP|MIRANDOPOLIS
21|OSVALDO CRUZ|SP|OSVALDO CRUZ
22|PENAPOLIS|SP|PENAPOLIS
23|S.JOSE RIO PRETO-CTO|SP|SAO JOSE DO RIO PR
24|VALPARAISO|SP|VALPARAISO
25|VOTUPORANGA - CENTRO|SP|VOTUPORANGA
26|RIO DE JANEIRO-CTRO.|RJ|RIO DE JANEIRO
27|CAMBE - CENTRO|PR|CAMBE
28|BILAC|SP|BILAC
29|BRAUNA|SP|BRAUNA
30|GALIA|SP|GALIA
31|PC.PANAMERICANA-USP|SP|SAO PAULO
32|ROLANDIA|PR|ROLANDIA
33|MARTINOPOLIS|SP|MARTINOPOLIS
34|PARAPUA|SP|PARAPUA
35|PARANAPANEMA|SP|PARANAPANEMA
36|PRES.PRUDENTE-CTO|SP|PRESIDENTE PRUDENT
37|PRES.VENCESLAU|SP|PRESIDENTE VENCESL
38|PROMISSAO|SP|PROMISSAO
39|REGENTE FEIJO|SP|REGENTE FEIJO
40|ALVARES MACHADO|SP|ALVARES MACHADO
41|IBIRAREMA|SP|IBIRAREMA
42|PRES.BERNARDES|SP|PRESIDENTE BERNARD
43|PEDERNEIRAS|SP|PEDERNEIRAS
44|OURINHOS|SP|OURINHOS
45|SANTOS-CENTRO|SP|SANTOS
46|CAMPINAS-CENTRO|SP|CAMPINAS
47|APUCARANA|PR|APUCARANA
48|PARANAGUA CENTRO|PR|PARANAGUA
49|CURITIBA-CENTRO|PR|CURITIBA
50|SERTANOPOLIS|PR|SERTANOPOLIS
51|CORNELIO PROCOPIO|PR|CORNELIO PROCOPIO
