  BANCO   : 070 - BRB-BANCO DE BRASILIA S.A.|||
|||
AGENCIA  | TITULO  | UF| PRACA DE PAGAMENTO 
11|CEASA|DF|BRASILIA
13|GUARA|DF|BRASILIA (GUARA)
15|GOIANIA|GO|GOIANIA
16|FORMOSA|GO|FORMOSA
17|UNAI|MG|UNAI
18|ANAPOLIS|GO|ANAPOLIS
20|JARAGUA|GO|JARAGUA
21|IPAMERI|GO|IPAMERI
22|RIO DE JANEIRO|RJ|RIO DE JANEIRO
23|SAO PAULO|SP|SAO PAULO
24|TAGUATINGA NORTE|DF|BRASILIA (TAGUATIN
25|BRAZLANDIA|DF|BRASILIA (BRAZLAND
26|CEILANDIA|DF|BRASILIA (CEILANDI
27|CENTRAL|DF|BRASILIA
28|SIG|DF|BRASILIA
33|BELO HORIZONTE|MG|BELO HORIZONTE
34|CATALAO|GO|CATALAO
35|GOIANESIA|GO|GOIANESIA
37|ASA SUL|DF|BRASILIA
39|ITUMBIARA|GO|ITUMBIARA
40|PARKSHOPPING|DF|BRASILIA
42|LUZIANIA|GO|LUZIANIA
43|CEILANDIA NORTE|DF|BRASILIA (CEILANDI
44|MILLENIUM CAPITAL|DF|BRASILIA
45|RODOVIARIA|DF|BRASILIA
46|CORPORATE|DF|BRASILIA
47|TAGUATINGA SUL|DF|BRASILIA (TAGUATIN
48|CRISTALINA|GO|CRISTALINA
49|SETOR CAMPINAS|GO|GOIANIA
50|PONTANORTE|DF|BRASILIA
52|TIJUCA|RJ|RIO DE JANEIRO
53|SAMAMBAIA|DF|BRASILIA (TAGUATIN
54|GUARA II|DF|BRASILIA (GUARA)
55|UBERLANDIA|MG|UBERLANDIA
56|CANDANGOLANDIA|DF|BRASILIA (CANDANGO
57|PARANOA|DF|BRASILIA
58|CNB 12|DF|BRASILIA (TAGUATIN
59|RTV - SUL|DF|BRASILIA
60|SAAN|DF|BRASILIA
61|LAGO NORTE|DF|BRASILIA
62|SETOR HOSPITALAR|DF|BRASILIA
63|SDS|DF|BRASILIA
64|SANTA MARIA|DF|BRASILIA
65|LIBERTY MALL|DF|BRASILIA
66|SETOR SUDOESTE|DF|BRASILIA
67|AGENCIA TERRACO SHOPPING|DF|BRASILIA
68|CRUZEIRO|DF|BRASILIA
71|FLORIDA MALL|DF|BRASILIA
72|LUZIANIA|GO|LUZIANIA
73|BARREIRAS|BA|BARREIRAS
74|QNL|DF|BRASILIA
76|CAMPO GRANDE|MS|CAMPO GRANDE
77|FORMOSA|GO|FORMOSA
