BANCO: 010 - CC CREDICOAMO CREDITO RURAL|||
|||
AGENCIA  | TITULO  | UF| PRACA DE PAGAMENTO 
1|CAMPO MOURAO - PR|PR|CAMPO MOURAO
2|MAMBORE-PR|PR|MAMBORE
3|ENGENHEIRO BELTRAO - PR|PR|ENGENHEIRO BELTRAO
4|JURANDA - PR|PR|JURANDA
5|BOA ESPERANCA - PR|PR|BOA ESPERANCA
6|MANOEL RIBAS - PR|PR|MANOEL RIBAS
7|MANGUEIRINHA - PR|PR|MANGUEIRINHA
8|ABELARDO LUZ - SC|SC|ABELARDO LUZ
9|TOLEDO - PR|PR|TOLEDO
10|TUPASSI - PR|PR|TUPASSI
11|IVAIPORÃ - PR|PR|JARDIM ALEGRE
12|PITANGA - PR|PR|PITANGA
13|CORONEL VIVIDA - PR|PR|CORONEL VIVIDA
14|NOVA SANTA ROSA - PR|PR|NOVA SANTA ROSA
15|PALMAS - PR|PR|PALMAS
16|SAO JOAO DO IVAI - PR|PR|SAO JOAO DO IVAI
17|RONCADOR - PR|PR|RONCADOR
18|CANDOI - PR|PR|CANDOI
19|PEABIRU - PR|PR|PEABIRU
20|LUIZIANA - PR|PR|LUIZIANA
21|GOIOERE - PR|PR|GOIOERE
22|CANTAGALO - PR|PR|CANTAGALO
23|SAO DOMINGOS - SC|SC|SAO DOMINGOS
24|FENIX - PR|PR|FENIX
25|BRAGANTINA - PR|PR|ASSIS CHATEAUBRIAN
26|DEZ DE MAIO - PR|PR|TOLEDO
27|SAO PEDRO DO IGUACU|PR|SAO PEDRO DO IGUAC
28|VILA NOVA-PR|PR|TOLEDO
29|PINHAO - PR|PR|PINHAO
30|BOA VENTURA-PR|PR|BOA VENTURA DE SAO
31|ARARUNA-PR|PR|ARARUNA
33|FAXINAL - PR|PR|FAXINAL
34|MARILANDIA DO SUL-PR|PR|MARILANDIA DO SUL
35|GUARAPUAVA-PR|PR|GUARAPUAVA
36|AMAMBAI-MS|MS|AMAMBAI
37|ARAL MOREIRA-MS|MS|ARAL MOREIRA
38|CAARAPO-MS|MS|CAARAPO
39|LAGUNA CARAPA-MS|MS|LAGUNA CARAPA
40|MARACAJU|MS|MARACAJU
41|RESERVA - PR|PR|RESERVA
42|DOURADOS - MS|MS|DOURADOS
43|XANXERE - SC|SC|XANXERE
44|ITAPORA - MS|MS|ITAPORA
45|SIDROLANDIA - MS|MS|SIDROLANDIA
46|CANDIDO DE ABREU|PR|CANDIDO DE ABREU
47|BRASILANDIA DO SUL - PR|PR|BRASILANDIA DO SUL
900|CREDICOAMO CREDITO RURAL COOP|PR|CAMPO MOURAO
