BANCO : 320 - CCB BRASIL|||
|||
AGENCIA  | TITULO  | UF| PRACA DE PAGAMENTO 
2|CRATO|CE|CRATO
3|CENTRO|CE|FORTALEZA
4|FLORIANO PEIXOTO|CE|FORTALEZA
5|JUAZEIRO DO NORTE|CE|JUAZEIRO DO NORTE
6|BEZERRA DE MENEZES|CE|FORTALEZA
7|BRASIL|SP|SAO PAULO
8|ALDEOTA|CE|FORTALEZA
9|BRASILIA|DF|BRASILIA
10|RECIFE|PE|RECIFE
11|MANAUS|AM|MANAUS
12|BELEM|PA|BELEM
13|SALVADOR|BA|SALVADOR
14|RIO DE JANEIRO|RJ|RIO DE JANEIRO
15|PORTO ALEGRE|RS|PORTO ALEGRE
16|CURITIBA|PR|CURITIBA
17|MACEIO|AL|MACEIO
18|GOIANIA|GO|GOIANIA
19|BELO HORIZONTE|MG|BELO HORIZONTE
20|ALPHAVILLE|SP|BARUERI
21|CAMPINAS|SP|CAMPINAS
22|RIBEIRAO PRETO|SP|RIBEIRAO PRETO
23|SANTOS|SP|SANTOS
24|CUIABA|MT|CUIABA
25|PORTO VELHO|RO|PORTO VELHO
26|NOVO HAMBURGO|RS|NOVO HAMBURGO
27|MARINGA|PR|MARINGA
28|UBERLANDIA|MG|UBERLANDIA
29|CAXIAS DO SUL|RS|CAXIAS DO SUL
30|CAMPO GRANDE|MS|CAMPO GRANDE
31|LONDRINA|PR|LONDRINA
32|BLUMENAU|SC|BLUMENAU
34|SAO BERNARDO DO CAMPO|SP|SAO BERNARDO DO CA
35|LAPA|SP|SAO PAULO
36|BERRINI|SP|SAO PAULO
37|GUARULHOS|SP|GUARULHOS
38|SANTO ANDRE|SP|SANTO ANDRE
39|VITORIA|ES|VITORIA
40|NOVA IGUACU|RJ|NOVA IGUACU
41|TERESINA|PI|TERESINA
42|SAO LUIS|MA|SAO LUIS
43|JOAO PESSOA|PB|JOAO PESSOA
44|NATAL|RN|NATAL
45|ARACAJU|SE|ARACAJU
46|FLORIANOPOLIS|SC|FLORIANOPOLIS
47|SAO JOSE DO RIO PRETO|SP|SAO JOSE DO RIO PR
48|BAURU|SP|BAURU
49|CHAPECO|SC|CHAPECO
50|BELEM|PA|BELEM
