  BANCO   : 104 - CAIXA ECONOMICA FEDERAL|||
|||
AGENCIA  | TITULO  | UF| PRACA DE PAGAMENTO 
2|PLANALTO|DF|BRASILIA
3|AEROPORTO|DF|BRASILIA
4|BERNARDO SAYAO|DF|BRASILIA
5|CONGRESSO|DF|BRASILIA
6|MEXICO|DF|BRASILIA
7|JOSE SEABRA|DF|BRASILIA
8|TAGUATINGA|DF|BRASILIA (TAGUATIN
9|ALM. SANDERSON DE QUEIROZ|DF|BRASILIA
10|HFA|DF|BRASILIA
11|MONTESE|DF|BRASILIA
12|ANHANGUERA|GO|GOIANIA
13|24 DE OUTUBRO|GO|GOIANIA
14|AGENCIA ANAPOLIS GO|GO|ANAPOLIS
15|ITUMBIARA|GO|ITUMBIARA
16|PAIAGUAS|MT|CUIABA
17|CENTRO CAMPO GRANDE|MS|CAMPO GRANDE
18|CORUMBA|MS|CORUMBA
19|FAXINAL DOS GUEDES|SC|FAXINAL DOS GUEDES
20|VITORIA-REGIA|AM|MANAUS
21|CONSTANTINOPOLIS|AM|MANAUS
22|CIRIO|PA|BELEM
23|ABAETETUBA|PA|ABAETETUBA
24|BRAGANCA|PA|BRAGANCA
25|CAPANEMA|PA|CAPANEMA
26|SANTAREM|PA|SANTAREM
27|GONCALVES DIAS|MA|SAO LUIS
28|CAXIAS|MA|CAXIAS
29|CONSELHEIRO SARAIVA|PI|TERESINA
30|PARNAIBA|PI|PARNAIBA
31|IRACEMA|CE|FORTALEZA
32|JUAZEIRO DO NORTE|CE|JUAZEIRO DO NORTE
33|RIBEIRA|RN|NATAL
34|ALECRIM|RN|NATAL
35|POTIGUAR|RN|NATAL
36|CABO BRANCO|PB|JOAO PESSOA
37|TRINCHEIRAS|PB|JOAO PESSOA
38|BANANEIRAS|PB|BANANEIRAS
39|CABEDELO|PB|CABEDELO
40|CAJAZEIRAS|PB|CAJAZEIRAS
41|CAMPINA GRANDE|PB|CAMPINA GRANDE
42|GUARABIRA|PB|GUARABIRA
43|PATOS|PB|PATOS
44|MAMANGUAPE|PB|MAMANGUAPE
45|AV. GUARARAPES|PE|RECIFE
46|AFOGADOS|PE|RECIFE
47|AEROPORTO RECIFE|PE|RECIFE
48|ENCRUZILHADA|PE|RECIFE
49|CASA AMARELA|PE|RECIFE
50|CAIS DO APOLO|PE|RECIFE
51|CARUARU|PE|CARUARU
52|GARANHUNS|PE|GARANHUNS
53|LIMOEIRO|PE|LIMOEIRO
54|NAZARE DA MATA|PE|NAZARE DA MATA
55|ROSA DA FONSECA|AL|MACEIO
56|ARAPIRACA|AL|ARAPIRACA
57|PALMEIRA DOS INDIOS|AL|PALMEIRA DOS INDIO
58|PENEDO|AL|PENEDO
59|SERIGY|SE|ARACAJU
60|MARCELO MONTALVAO SE|SE|ESTANCIA
61|DAS MERCES|BA|SALVADOR
62|CALCADA|BA|SALVADOR
63|COMERCIO|BA|SALVADOR
64|BAIXA DOS SAPATEIROS|BA|SALVADOR
65|ALAGOINHAS|BA|ALAGOINHAS
66|AMARGOSA|BA|AMARGOSA
67|CACHOEIRA|BA|CACHOEIRA
68|FEIRA DE SANTANA|BA|FEIRA DE SANTANA
69|ILHEUS|BA|ILHEUS
70|ITABUNA|BA|ITABUNA
71|JEQUIE|BA|JEQUIE
72|NAZARE|BA|NAZARE
73|SANTO AMARO|BA|SANTO AMARO
74|SAO GONCALO DOS CAMPOS|BA|SAO GONCALO DOS CA
75|EUNAPOLIS|BA|EUNAPOLIS
76|SENHOR DO BONFIM|BA|SENHOR DO BONFIM
77|SERRINHA|BA|SERRINHA
78|NOSSA SENHORA DO AMPARO|BA|VALENCA
79|VITORIA DA CONQUISTA|BA|VITORIA DA CONQUIS
