 BANCO   : 477 - CITIBANK N.A. |||
                                                                               |||
AGENCIA  | TITULO  | UF| PRACA DE PAGAMENTO 
1|SAO PAULO|SP|SAO PAULO
3|RIO DE JANEIRO|RJ|RIO DE JANEIRO
4|CAMPINAS|SP|CAMPINAS
6|RECIFE|PE|RECIFE
7|SALVADOR|BA|SALVADOR
8|BRASILIA|DF|BRASILIA
9|BELO HORIZONTE|MG|BELO HORIZONTE
10|CURITIBA|PE|CURITIBA
11|PORTO ALEGRE|RS|PORTO ALEGRE
15|BLUMENAU|SC|BLUMENAU
16|RIBEIRAO PRETO|SP|RIBEIRAO PRETO
20|GOIANIA|GO|GOIANIA
21|CAMPO GRANDE|MS|CAMPO GRANDE
22|FORTALEZA|CE|FORTALEZA
23|SAO JOSE DO RIO PRETO|SP|SAO JOSE DO RIO PR
25|SANTO ANDRE|SP|SANTO ANDRE
26|BOA VIAGEM|PE|RECIFE
27|MOINHOS DE VENTO|RS|PORTO ALEGRE
28|BARRA|BA|SALVADOR
29|SAVASSI|MG|BELO HORIZONTE
30|IPIRANGA|SP|SAO PAULO
31|MOEMA|SP|SAO PAULO
32|FARIA LIMA|SP|SAO PAULO
34|LAPA|SP|SAO PAULO
35|TATUAPE|SP|SAO PAULO
37|IPANEMA|RJ|RIO DE JANEIRO
86|ANALIA FRANCO|SP|SAO PAULO
603|MATRIZ|SP|SAO PAULO
