  BANCO   : 745 - BANCO CITIBANK S/A |||
|||
AGENCIA  | TITULO  | UF| PRACA DE PAGAMENTO 
1|MATRIZ|SP|SAO PAULO
3|RIO DE JANEIRO|RJ|RIO DE JANEIRO
4|CAMPINAS|SP|CAMPINAS
5|PARAISO|SP|SAO PAULO
6|RECIFE|PE|RECIFE
7|SALVADOR|BA|SALVADOR
8|BRASILIA|DF|BRASILIA
9|BELO HORIZONTE|MG|BELO HORIZONTE
10|CURITIBA|PR|CURITIBA
11|PORTO ALEGRE|RS|PORTO ALEGRE
12|HEITOR PENTEADO|SP|SAO PAULO
13|RECREIO|RJ|RIO DE JANEIRO
14|DOWNTOWN|RJ|RIO DE JANEIRO
15|PRACA VILABOIM|SP|SAO PAULO
16|RIBEIRAO PRETO|SP|RIBEIRAO PRETO
17|AV.NAZARE|SP|SAO PAULO
18|JUSCELINO KUBITSCHEK|SP|SAO PAULO
19|PEDROSO ALVARENGA|SP|SAO PAULO
20|CELSO GARCIA|SP|SAO PAULO
21|RUA DA MOOCA|SP|SAO PAULO
22|XV DE NOVEMBRO|SP|SAO PAULO
23|FUNCHAL|SP|SAO PAULO
24|BERRINI|SP|SAO PAULO
25|CERRO CORA|SP|SAO PAULO
26|BOA VIAGEM|PE|RECIFE
27|MOINHOS DE VENTO|RS|PORTO ALEGRE
28|BARRA|BA|SALVADOR
29|SAVASSI|MG|BELO HORIZONTE
30|CENTRO|SP|SAO PAULO
31|MOEMA|SP|SAO PAULO
32|FARIA LIMA|SP|SAO PAULO
33|PACAEMBU|SP|SAO PAULO
34|LAPA|SP|SAO PAULO
35|TATUAPE|SP|SAO PAULO
36|VILA MARIANA|SP|SAO PAULO
37|IPANEMA|RJ|RIO DE JANEIRO
38|COMERCIO|BA|SALVADOR
39|ESTADOS UNIDOS|SP|SAO PAULO
40|ADOLFO PINHEIRO|SP|SAO PAULO
41|SUMARE|SP|SAO PAULO
42|CENESP|SP|SAO PAULO
43|MORUMBI|SP|SAO PAULO
44|BROOKLIN|SP|SAO PAULO
45|CENTRO RJ|RJ|RIO DE JANEIRO
46|CENTRO CIVICO|PR|CURITIBA
47|LOURDES|MG|BELO HORIZONTE
48|RIO OFFICE PARK|RJ|RIO DE JANEIRO
49|SAO CAETANO|SP|SAO CAETANO DO SUL
50|BUTANTA|SP|SAO PAULO
51|WENCESLAU ESCOBAR|RS|PORTO ALEGRE
52|SAO BERNARDO DO CAMPO|SP|SAO BERNARDO DO CA
53|OSASCO|SP|OSASCO
54|SAO JOSE DOS CAMPOS|SP|SAO JOSE DOS CAMPO
55|ASA SUL|DF|BRASILIA
56|JARDINS|SP|SAO PAULO
57|WORD TRADE CENTER|SP|SAO PAULO
58|COPACABANA|RJ|RIO DE JANEIRO
59|VILA OLIMPIA|SP|SAO PAULO
60|AMERICO BRASILIENSE|SP|SAO PAULO
61|LARGO DE PINHEIROS|SP|SAO PAULO
62|JOAQUIM FLORIANO|SP|SAO PAULO
63|HIGIENOPOLIS|SP|SAO PAULO
64|TIJUCA|RJ|RIO DE JANEIRO
65|BARRA DA TIJUCA|RJ|RIO DE JANEIRO
66|PINHEIROS|SP|SAO PAULO
67|ALPHAVILLE|SP|BARUERI
68|CAMPO BELO|SP|SAO PAULO
69|CHACARA SANTO ANTONIO|SP|SAO PAULO
70|AG. BATEL|PR|CURITIBA
71|MANGABEIRA|MG|BELO HORIZONTE
72|SUMARE|SP|SAO PAULO
73|REAL PARK|SP|SAO PAULO
74|MOOCA|SP|SAO PAULO
75|BOTAFOGO|RJ|RIO DE JANEIRO
77|INDIANOPOLIS|SP|SAO PAULO
78|SANTO ANDRE|SP|SANTO ANDRE
79|JARDIM BOTANICO|RJ|RIO DE JANEIRO
80|REBOUCAS|SP|SAO PAULO
81|JOCKEY|SP|SAO PAULO
82|BARAO GERALDO|SP|CAMPINAS
83|JUNDIAI|SP|JUNDIAI
84|SETE DE SETEMBRO|RS|PORTO ALEGRE
85|NITEROI|RJ|NITEROI
86|ANALIA FRANCO|SP|SAO PAULO
87|LEBLON|RJ|RIO DE JANEIRO
88|JARDIM EUROPA|SP|SAO PAULO
89|VILA NOVA CONCEIÇAO|SP|SAO PAULO
90|GUARULHOS|SP|GUARULHOS
91|LAGO SUL|DF|BRASILIA
92|SANTANA|SP|SAO PAULO
93|CANDELARIA|RJ|RIO DE JANEIRO
94|RIO BRANCO|RJ|RIO DE JANEIRO
95|AUGUSTA|SP|SAO PAULO
96|IGUATEMI|SP|SAO PAULO
97|VOLUNTARIOS DA PATRIA|RJ|RIO DE JANEIRO
98|ILHA DO LEITE|PE|RECIFE
100|PAULISTA TRIANON|SP|SAO PAULO
101|TEODORO SAMPAIO|SP|SAO PAULO
102|TUCURUVI|SP|SAO PAULO
103|BOTAFOGO|RJ|RIO DE JANEIRO
104|AV. IBIRAPUERA|SP|SAO PAULO
105|CASA VERDE|SP|SAO PAULO
106|CONSOLACAO|SP|SAO PAULO
107|VILA GUILHERME|SP|SAO PAULO
108|VILA MARIA|SP|SAO PAULO
109|ACLIMACAO|SP|SAO PAULO
110|VITAL BRASIL|SP|SAO PAULO
111|BELVEDERE|MG|BELO HORIZONTE
112|BRIG.LUIS ANTONIO|SP|SAO PAULO
113|SANTOS|SP|SANTOS
114|CINELANDIA|RJ|RIO DE JANEIRO
115|ALPHAVILLE CA2|SP|SANTANA DE PARNAIB
116|SAENS PENA|RJ|RIO DE JANEIRO
117|GOIANIA|GO|GOIANIA
118|CHAMPAGNAT|PR|CURITIBA
119|CAMBUI|SP|CAMPINAS
120|SOROCABA|SP|SOROCABA
121|LONDRINA|PR|LONDRINA
122|SETOR SUDOESTE|DF|BRASILIA
123|SETOR COMERCIAL NORTE|DF|BRASILIA
124|PIRACICABA|SP|PIRACICABA
125|FLORIANOPOLIS|SC|FLORIANOPOLIS
127|ALDEOTA|CE|FORTALEZA
128|PRESIDENTE VARGAS|SP|RIBEIRAO PRETO
130|AV.DAS AMERICAS|RJ|RIO DE JANEIRO
301|PAB CHEVRON DUQUE DE CAXIAS|RJ|DUQUE DE CAXIAS
302|PAB MACAE|RJ|MACAE
303|PA CITI CENTER|SP|SAO PAULO
1869|GASPAR|SC|GASPAR
6396|RIBEIRAO PRETO/MOGIANA|SP|RIBEIRAO PRETO
