 BANCO   : 089 - CREDISAN COOPERATIVA DE CREDITO |||
                                                                           |||
AGENCIA  | TITULO  | UF| PRACA DE PAGAMENTO 
1|SAO JOAO DA BOA VISTA|SP|SAO JOAO DA BOA VI
2|VARGEM GRANDE DO SUL|SP|VARGEM GRANDE DO S
3|DIVINOLANDIA|SP|DIVINOLANDIA
4|PINHAL|SP|ESPIRITO SANTO DO
5|ALBERTINA|MG|ALBERTINA
6|MOCOCA|SP|MOCOCA
7|ARCEBURGO|MG|ARCEBURGO
8|RIO PARDO|SP|SAO JOSE DO RIO PA
9|ANDRADAS|MG|ANDRADAS
10|CASA BRANCA|SP|CASA BRANCA
11|JARDIM|SP|SANTO ANTONIO DO J
12|PA 11-CREDISAN-MOGI GUACU SP|SP|MOGI-GUACU
13|MONTE SANTO DE MINAS|MG|MONTE SANTO DE MIN
14|PA 12 CREDISAN POUSO ALEGRE MG|MG|POUSO ALEGRE
