BANCO : 097 - CREDISIS LTDA|||
|||
AGENCIA  | TITULO  | UF| PRACA DE PAGAMENTO 
1|CCC NOROESTE BRASILEIRO|RO|JI-PARANA
2|JICRED|RO|JI-PARANA
3|CREDISIS LESTE|RO|CACOAL
4|CCLA CREDISIS ROLIMCRED|RO|ROLIM DE MOURA
5|CREDIARI - CCLA DE ARIQUEMES|RO|ARIQUEMES
6|CREDIRON|RO|OURO PRETO DO OEST
7|FLORESTACREDI|RO|ALTA FLORESTA DO O
8|CREDIVALE|RO|SAO MIGUEL DO GUAP
9|CREDIESPIGAO|RO|ESPIGAO D'OESTE
10|JARUCREDI|RO|JARU
11|CAPITALCREDI|AC|RIO BRANCO
12|CREDIBRAS|RO|NOVA BRASILANDIA D
15|CBCRED-ACRE|AC|RIO BRANCO
17|CECMS PUB MUN REG MET BELEM|PA|BELEM
18|EUCATURCREDI|RO|JI-PARANA
19|CREDISIS BELEM|PA|BELEM
20|COOPERUFPA|PA|BELEM
21|CREDICORES|ES|VITORIA
1001|CREDIS JICRED JARU|RO|JARU
1002|CREDISIS JICRED 2 DE ABRIL|RO|JI-PARANA
1003|CREDISIS JICRED NOVA BRASILIA|RO|JI-PARANA
1004|CREDISIS JICRED PRES MEDICI|RO|PRESIDENTE MEDICI
1005|CREDISIS JICRED ALVORADA|RO|ALVORADA DO OESTE
1006|CREDISIS JICRED S MIGUEL D GUA|RO|SAO MIGUEL DO GUAP
1007|CREDISIS JICRED SAO FRANCISCO|RO|SAO FRANCISCO DO G
1008|CREDISIS JICRED SERINGUEIRAS|RO|SERINGUEIRAS
1009|CREDISIS JICRED URUPA|RO|URUPA
1010|CREDISIS JICRED TEIXEIROPOLIS|RO|TEIXEIROPOLIS
1011|CREDISIS JICRED OURO PRETO|RO|OURO PRETO DO OEST
1012|CREDISIS JICRED VALE DO PARAIS|RO|VALE DO PARAISO
1013|CREDISIS JICRED MACHADINHO|RO|MACHADINHO D'OESTE
1014|CREDISIS JICRED NOVA UNIAO|RO|NOVA UNIAO
1016|CREDISI SUDOESTE P BUENO|RO|PIMENTA BUENO
1017|CREDISIS SUDOESTE A FLORESTA|RO|ALTA FLORESTA DO O
1018|CREDISIS CREDIARI BURITIS|RO|BURITIS
1019|CREDISIS CREDIARI PORTO VELHO|RO|PORTO VELHO
1020|CREDISIS CREDIARI CANAA|RO|ARIQUEMES
1021|CREDISIS CREDIARI RIO PARDO|RO|PORTO VELHO
1022|CREDISIS CREDIARI JACINOPOLIS|RO|NOVA MAMORE
1023|CREDISIS CREDIARI BANDEIRANTES|RO|PORTO VELHO
1024|CREDISIS CREDIARI N DIMENSÃO|RO|NOVA MAMORE
1025|CREDISIS CACOAL|RO|CACOAL
1027|CREDISIS CAPITALCREDI CHICO ME|AC|RIO BRANCO
1028|CREDISIS CREDIBRAS MIGRANTINOP|RO|NOVO HORIZONTE DO
1029|CREDISIS CREDIBRAS N HORIZONTE|RO|NOVO HORIZONTE DO
1030|CREDISIS EUCRED CASCAVEL|PR|CASCAVEL
1031|CREDISIS EUCRED PORTO VELHO|RO|PORTO VELHO
1032|CREDISIS EUCRED MANAUS|AM|MANAUS
