  BANCO   : 029 - BANCO ITAU CONSIGNADO S.A. |||
|||
AGENCIA  | TITULO  | UF| PRACA DE PAGAMENTO 
1|MAYRINK VEIGA|RJ|RIO DE JANEIRO
2|MARQUES DO HERVAL|RJ|RIO DE JANEIRO
3|CASTELO|RJ|RIO DE JANEIRO
4|CATETE|RJ|RIO DE JANEIRO
5|VOLUNTARIOS|RJ|RIO DE JANEIRO
6|POSTO IV|RJ|RIO DE JANEIRO
7|COPACABANA|RJ|RIO DE JANEIRO
8|GENERAL OSORIO|RJ|RIO DE JANEIRO
9|CATUMBI|RJ|RIO DE JANEIRO
10|SANTO CRISTO|RJ|RIO DE JANEIRO
11|TIJUCA|RJ|RIO DE JANEIRO
12|SAO CRISTOVAO|RJ|RIO DE JANEIRO
13|JACARE|RJ|RIO DE JANEIRO
14|MEIER|RJ|RIO DE JANEIRO
15|DIAS DA CRUZ|RJ|RIO DE JANEIRO
16|TAQUARA|RJ|RIO DE JANEIRO
17|MADUREIRA|RJ|RIO DE JANEIRO
18|BENTO RIBEIRO|RJ|RIO DE JANEIRO
19|CAMPO GRANDE|RJ|RIO DE JANEIRO
20|SANTA CRUZ|RJ|RIO DE JANEIRO
21|PENHA|RJ|RIO DE JANEIRO
22|CAT BONSUCESSO|RJ|RIO DE JANEIRO
23|IRAJA|RJ|RIO DE JANEIRO
24|COELHO NETO|RJ|RIO DE JANEIRO
25|GOVERNADOR|RJ|RIO DE JANEIRO
26|PAQUETA|RJ|RIO DE JANEIRO
27|ALFANDEGA|RJ|RIO DE JANEIRO
29|CINELANDIA|RJ|RIO DE JANEIRO
30|CASCADURA|RJ|RIO DE JANEIRO
31|VILA ISABEL|RJ|RIO DE JANEIRO
32|BARRA DA TIJUCA|RJ|RIO DE JANEIRO
33|SAARA|RJ|RIO DE JANEIRO
34|HADDOCK LOBO|RJ|RIO DE JANEIRO
35|GRAJAU|RJ|RIO DE JANEIRO
36|LIDO|RJ|RIO DE JANEIRO
37|URUGUAI|RJ|RIO DE JANEIRO
38|AEROPORTO|RJ|RIO DE JANEIRO
39|LARANJEIRAS|RJ|RIO DE JANEIRO
40|HUMAITA|RJ|RIO DE JANEIRO
41|FLAMENGO|RJ|RIO DE JANEIRO
42|FATIMA|RJ|RIO DE JANEIRO
44|LEBLON|RJ|RIO DE JANEIRO
45|BENFICA|RJ|RIO DE JANEIRO
46|CAT-BANGU|RJ|RIO DE JANEIRO
47|PORTO|RJ|RIO DE JANEIRO
48|ROCHA MIRANDA|RJ|RIO DE JANEIRO
49|REALENGO|RJ|RIO DE JANEIRO
50|PRACA SECA|RJ|RIO DE JANEIRO
51|AV.IPIRANGA|SP|SAO PAULO
52|BARAO DO AMAZONAS|RJ|NITEROI
53|BELO HORIZONTE|MG|BELO HORIZONTE
54|AUGUSTA|SP|SAO PAULO
55|BRASILIA|DF|BRASILIA
56|CENTRO|SP|SAO PAULO
57|LAPA|SP|SAO PAULO
58|VITORIA|ES|VITORIA
59|JUIZ DE FORA|MG|JUIZ DE FORA
60|P. TELERJ|RJ|RIO DE JANEIRO
61|ICARAI|RJ|NITEROI
63|FARIA LIMA|SP|SAO PAULO
65|CEASA|RJ|RIO DE JANEIRO
69|P. MINISTERIO DE JUSTICA - DF|DF|BRASILIA
70|P. ARSENAL|RJ|RIO DE JANEIRO
72|FORTALEZA|CE|FORTALEZA
74|P. VILA MILITAR|RJ|RIO DE JANEIRO
78|BETIM|MG|BETIM
79|VICENTE DE CARVALHO|RJ|RIO DE JANEIRO
80|CARVALHO DE SOUSA|RJ|RIO DE JANEIRO
81|UBERLANDIA|MG|UBERLANDIA
85|UERJ|RJ|RIO DE JANEIRO
92|DEJUD|RJ|RIO DE JANEIRO
96|JARDIM BOTANICO|RJ|RIO DE JANEIRO
97|RIO MEXICO|RJ|RIO DE JANEIRO
98|SEENT|RJ|RIO DE JANEIRO
99|CENTRAL|RJ|RIO DE JANEIRO
101|NITEROI|RJ|NITEROI
102|NOVA FRIBURGO|RJ|NOVA FRIBURGO
