  BANCO   : 341 - BANCO ITAU UNIBANCO S.A. ||||||||||
||||||||||
AGENCIA  | TITULO  | UF| PRACA DE PAGAMENTO |||||||
1|OSASCO SP|SP|OSASCO|||||||
2|S PAULO ANTONIO BARROS|SP|SAO PAULO|||||||
3|S PAULO MERCURIO|SP|SAO PAULO|||||||
4|S PAULO PAULA SOUZA|SP|SAO PAULO|||||||
5|VARGEM GRANDE DO SUL SP|SP|VARGEM GRANDE DO S|||||||
6|AGUAI SP|SP|AGUAI|||||||
7|BRAGANCA PAULISTA SP|SP|BRAGANCA PAULISTA|||||||
8|COSMOPOLIS SP|SP|COSMOPOLIS|||||||
9|CAMPINAS SP|SP|CAMPINAS|||||||
10|FRANCO DA ROCHA SP|SP|FRANCO DA ROCHA|||||||
11|ITAPIRA SP|SP|ITAPIRA|||||||
12|PEDREIRA SP|SP|PEDREIRA|||||||
13|ESPIRITO SANTO PINHAL SP|SP|ESPIRITO SANTO DO|||||||
14|AMPARO SP|SP|AMPARO|||||||
15|SERRA NEGRA SP|SP|SERRA NEGRA|||||||
16|SOCORRO SP|SP|SOCORRO|||||||
17|SAO BERNARDO DO CAMPO SP|SP|SAO BERNARDO DO CA|||||||
18|SAO CAETANO DO SUL SP|SP|SAO CAETANO DO SUL|||||||
19|JUNDIAI SP|SP|JUNDIAI|||||||
20|SANTO ANDRE SP|SP|SANTO ANDRE|||||||
21|SANTOS SP|SP|SANTOS|||||||
22|SAO JOAO DA BOA VISTA SP|SP|SAO JOAO DA BOA VI|||||||
23|RIO BAIRRO BONSUCESSO|RJ|RIO DE JANEIRO|||||||
24|BARUERI SP|SP|BARUERI|||||||
25|MOGI GUACU SP|SP|MOGI-GUACU|||||||
26|JUNDIAI PONTE SAO JOAO|SP|JUNDIAI|||||||
27|S PAULO DR ZUQUIM|SP|SAO PAULO|||||||
28|VALINHOS SP|SP|VALINHOS|||||||
29|AGUAS DA PRATA SP|SP|AGUAS DA PRATA|||||||
30|ATIBAIA SP|SP|ATIBAIA|||||||
31|MOGI MIRIM SP|SP|MOGI-MIRIM|||||||
32|S ANDRE BAIRRO UTINGA|SP|SANTO ANDRE|||||||
33|JAGUARIUNA SP|SP|JAGUARIUNA|||||||
34|S PAULO DOM JOSE|SP|SAO PAULO|||||||
35|RIO ACRE RJ|RJ|RIO DE JANEIRO|||||||
36|S PAULO RUA CONSOLACAO|SP|SAO PAULO|||||||
37|S PAULO SANTA IFIGENIA|SP|SAO PAULO|||||||
38|S PAULO PARI|SP|SAO PAULO|||||||
39|ITANHAEM SP|SP|ITANHAEM|||||||
40|BELEM PA|PA|BELEM|||||||
41|INDAIATUBA SP|SP|INDAIATUBA|||||||
42|DESCALVADO SP|SP|DESCALVADO|||||||
43|ARARAQUARA SP|SP|ARARAQUARA|||||||
44|SERTAOZINHO SP|SP|SERTAOZINHO|||||||
45|SAO JOSE DO RIO PRETO SP|SP|SAO JOSE DO RIO PR|||||||
46|GUARULHOS SP|SP|GUARULHOS|||||||
47|S PAULO VILA MONUMENTO|SP|SAO PAULO|||||||
48|S PAULO BAIRRO DA LAPA|SP|SAO PAULO|||||||
49|SAO CARLOS SP|SP|SAO CARLOS|||||||
50|RIO CLARO SP|SP|RIO CLARO|||||||
51|NOVA EUROPA SP|SP|NOVA EUROPA|||||||
52|GUARUJA SP|SP|GUARUJA|||||||
53|ANDRADAS MG|MG|ANDRADAS|||||||
54|PIRACICABA SP|SP|PIRACICABA|||||||
55|SUMARE SP|SP|SUMARE|||||||
56|S PAULO JUMANA|SP|SAO PAULO|||||||
57|S PAULO CENTRAL|SP|SAO PAULO|||||||
58|ORLANDIA SP|SP|ORLANDIA|||||||
59|NITEROI/CENTRO|RJ|NITEROI|||||||
60|S PAULO VILA MUNHOZ|SP|SAO PAULO|||||||
61|S PAULO AV ANGELICA|SP|SAO PAULO|||||||
62|S PAULO VILA SONIA|SP|SAO PAULO|||||||
63|S PAULO BELENZINHO|SP|SAO PAULO|||||||
64|S PAULO BAIRRO B RETIRO|SP|SAO PAULO|||||||
65|S PAULO CASA VERDE|SP|SAO PAULO|||||||
66|S PAULO VILA OLIMPIA|SP|SAO PAULO|||||||
67|S PAULO JABAQUARA|SP|SAO PAULO|||||||
68|S PAULO AUGUSTA|SP|SAO PAULO|||||||
69|S PAULO JD DA SAUDE|SP|SAO PAULO|||||||
70|VITORIA ES|ES|VITORIA|||||||
71|MANAUS EDUARDO RIBEIRO|AM|MANAUS|||||||
72|S PAULO RUA PIRATININGA|SP|SAO PAULO|||||||
73|S PAULO BAIRRO PINHEIROS|SP|SAO PAULO|||||||
74|S PAULO VILA FORMOSA|SP|SAO PAULO|||||||
75|BAURU SP|SP|BAURU|||||||
76|SOROCABA SP|SP|SOROCABA|||||||
77|S PAULO VILA GUILHERME|SP|SAO PAULO|||||||
78|S PAULO VILA MARIA|SP|SAO PAULO|||||||
79|S PAULO VILA MEDEIROS|SP|SAO PAULO|||||||
80|AGUAS DE LINDOIA SP|SP|AGUAS DE LINDOIA|||||||
81|S PAULO VILA MARIANA|SP|SAO PAULO|||||||
82|APUCARANA PR|PR|APUCARANA|||||||
83|ARAPONGAS PR|PR|ARAPONGAS|||||||
84|BH TUPINAMBAS|MG|BELO HORIZONTE|||||||
85|BORRAZOPOLIS PR|PR|BORRAZOPOLIS|||||||
86|BRASILIA ST BANCARIO SUL|DF|BRASILIA|||||||
87|BELO HORIZ TUPIS|MG|BELO HORIZONTE|||||||
88|CAMBE PR|PR|CAMBE|||||||
89|CAMBIRA PR|PR|CAMBIRA|||||||
90|DUQUE DE CAXIAS RJ|RJ|DUQUE DE CAXIAS|||||||
91|CAMPO GRANDE MS|MS|CAMPO GRANDE|||||||
92|S BERN CAMPO P MUNICIPAL|SP|SAO BERNARDO DO CA|||||||
93|RIO/AV. GRACA ARANHA|RJ|RIO DE JANEIRO|||||||
94|SAO GON BAIRRO ALCANTARA|RJ|SAO GONCALO|||||||
95|CORNELIO PROCOPIO PR|PR|CORNELIO PROCOPIO|||||||
96|CORUMBA MS|MS|CORUMBA|||||||
97|CUBATAO SP|SP|CUBATAO|||||||
98|CURITIBA RUA DAS FLORES|PR|CURITIBA|||||||
99|CALIFORNIA PR|PR|CALIFORNIA|||||||
100|FAXINAL PR|PR|FAXINAL|||||||
101|FURNAS MG|BA|BARREIRAS|||||||
102|ENGENHEIRO BELTRAO PR|PR|ENGENHEIRO BELTRAO|||||||
103|ITAMOGI MG|MG|ITAMOGI|||||||
104|ITAU DE MINAS MG|MG|ITAU DE MINAS|||||||
105|IVAIPORA PR|PR|IVAIPORA|||||||
106|ITUIUTABA MG|MG|ITUIUTABA|||||||
107|JANDAIA DO SUL PR|PR|JANDAIA DO SUL|||||||
108|GOIOERE PR|PR|GOIOERE|||||||
109|LONDRINA PR|PR|LONDRINA|||||||
110|LOUVEIRA SP|SP|LOUVEIRA|||||||
111|MANDAGUARI PR|PR|MANDAGUARI|||||||
112|MARIALVA PR|PR|MARIALVA|||||||
113|MARINGA PR|PR|MARINGA|||||||
114|MARUMBI PR|PR|MARUMBI|||||||
115|MONTE SANTO DE MINAS MG|MG|MONTE SANTO DE MIN|||||||
116|NOVA ERA MG|MG|NOVA ERA|||||||
117|NOVA FATIMA PR|PR|NOVA FATIMA|||||||
118|PARANAGUA PR|PR|PARANAGUA|||||||
119|B HORIZONTE PQUE INDL MG|MG|BELO HORIZONTE|||||||
120|PASSOS MG|MG|PASSOS|||||||
121|PORTO FERREIRA SP|SP|PORTO FERREIRA|||||||
122|PETROPOLIS/PçA DOM PEDRO II|RJ|PETROPOLIS|||||||
123|RANCHO ALEGRE PR|PR|RANCHO ALEGRE|||||||
124|RIBEIRAO DO PINHAL PR|PR|RIBEIRAO DO PINHAL|||||||
125|RIBEIRAO PRETO SP|SP|RIBEIRAO PRETO|||||||
126|ROLANDIA PR|PR|ROLANDIA|||||||
127|PAB BRASIL GRAFICA SP|SP|BARUERI|||||||
128|STA MARIANA PR|PR|SANTA MARIANA|||||||
129|SALVADOR BA|BA|SALVADOR|||||||
130|JARDIM ALEGRE PR|PR|JARDIM ALEGRE|||||||
131|SAO PEDRO DO IVAI PR|PR|SAO PEDRO DO IVAI|||||||
132|BLUMENAU SC|SC|BLUMENAU|||||||
133|SAO SEBASTIAO PARAISO MG|MG|SAO SEBASTIAO DO P|||||||
134|SERTANEJA PR|PR|SERTANEJA|||||||
135|URAI PR|PR|URAI|||||||
136|VINHEDO SP|SP|VINHEDO|||||||
137|S PAULO INTERLAGOS|SP|SAO PAULO|||||||
138|S PAULO VILA G CARDIM|SP|SAO PAULO|||||||
139|S PAULO VILA ESPERANCA|SP|SAO PAULO|||||||
140|S PAULO PARQUE SAO LUCAS|SP|SAO PAULO|||||||
141|S PAULO AGUA RASA|SP|SAO PAULO|||||||
142|MOGI DAS CRUZES SP|SP|MOGI DAS CRUZES|||||||
143|ASSIS SP|SP|ASSIS|||||||
144|ARACATUBA SP|SP|ARACATUBA|||||||
145|MARILIA SP|SP|MARILIA|||||||
146|OURINHOS SP|SP|OURINHOS|||||||
147|GOIANIA GO|GO|GOIANIA|||||||
148|UBERLANDIA MG|MG|UBERLANDIA|||||||
