  BANCO   : 399 - KIRTON BANK S.A.- BANCO MULTIPLO|||
|||
AGENCIA  | TITULO  | UF| PRACA DE PAGAMENTO 
3|URB MAL DEODORO|PR|CURITIBA
4|ANDIRA|PR|ANDIRA
5|CTO PONTA GROSSA|PR|PONTA GROSSA
6|WENCESLAU BRAZ|PR|WENCESLAU BRAZ
7|URB PORTAO|PR|CURITIBA
8|PINHAO|PR|PINHAO
10|QUATIGUA|PR|QUATIGUA
11|STO ANTONIO PLATINA|PR|SANTO ANTONIO DA P
12|NOVA OLIMPIA|PR|NOVA OLIMPIA
13|RIBEIRAO CLARO|PR|RIBEIRAO CLARO
15|IBAITI|PR|IBAITI
16|CAMPO MOURAO|PR|CAMPO MOURAO
17|IMBITUVA|PR|IMBITUVA
18|IRETAMA|PR|IRETAMA
19|CAMBARA|PR|CAMBARA
20|RIO BRANCO DO SUL|PR|RIO BRANCO DO SUL
21|COLOMBO|PR|COLOMBO
22|CRUZEIRO DO OESTE|PR|CRUZEIRO DO OESTE
24|CONTENDA|PR|CONTENDA
25|FAXINAL|PR|FAXINAL
26|CTO S JOSE PINHAIS|PR|SAO JOSE DOS PINHA
27|CTO FOZ DO IGUACU|PR|FOZ DO IGUACU
28|SIQUEIRA CAMPOS|PR|SIQUEIRA CAMPOS
29|CAMPO LARGO|PR|CAMPO LARGO
30|ARARUNA|PR|ARARUNA
31|ARAUCARIA|PR|ARAUCARIA
32|CTO CASCAVEL|PR|CASCAVEL
33|TOMAZINA|PR|TOMAZINA
34|ENGENHEIRO BELTRAO|PR|ENGENHEIRO BELTRAO
35|CIANORTE|PR|CIANORTE
36|CTO MARINGA|PR|MARINGA
38|URB CDOR ARAUJO|PR|CURITIBA
39|JOAQUIM TAVORA|PR|JOAQUIM TAVORA
40|TERRA BOA|PR|TERRA BOA
41|JACAREZINHO|PR|JACAREZINHO
43|PARANAVAI|PR|PARANAVAI
44|DIAMANTE DO NORTE|PR|DIAMANTE DO NORTE
45|JATAIZINHO|PR|JATAIZINHO
46|NOVA LONDRINA|PR|NOVA LONDRINA
47|FRANCISCO BELTRAO|PR|FRANCISCO BELTRAO
48|PATO BRANCO|PR|PATO BRANCO
49|ARAPOTI|PR|ARAPOTI
50|ALVORADA|RS|ALVORADA
51|MATINHOS|PR|MATINHOS
52|RONDON|PR|RONDON
53|PARANAGUA|PR|PARANAGUA
54|URB AVENIDA|PR|CURITIBA
