  BANCO   : 422 - BANCO SAFRA S.A.  |||
                                                                                |||
AGENCIA  | TITULO  | UF| PRACA DE PAGAMENTO 
2|CENTRAL QUINZE|SP|SAO PAULO
3|SANTOS|SP|SANTOS
4|BARAO|SP|SAO PAULO
5|BOM RETIRO|SP|SAO PAULO
6|CANDELARIA|RJ|RIO DE JANEIRO
7|PORTO ALEGRE|RS|PORTO ALEGRE
8|SALVADOR|BA|SALVADOR
9|CURITIBA|PR|CURITIBA
10|CAMPINAS|SP|CAMPINAS
11|SANTO ANDRE|SP|SANTO ANDRE
12|RIBEIRAO|SP|RIBEIRAO PRETO
14|SAO CAETANO|SP|SAO CAETANO DO SUL
15|CASTELO|RJ|RIO DE JANEIRO
16|AG.LAPA|SP|SAO PAULO
18|TRIANON|SP|SAO PAULO
19|SAO BERNARDO DO CAMPO|SP|SAO BERNARDO DO CA
20|GUARULHOS|SP|GUARULHOS
21|AG. IPIRANGA|SP|SAO PAULO
22|DOM JOSE GASPAR|SP|SAO PAULO
23|BELO HORIZONTE|MG|BELO HORIZONTE
24|FARIA LIMA|SP|SAO PAULO
25|RIO BRANCO|RJ|RIO DE JANEIRO
26|AG.PARAISO|SP|SAO PAULO
27|MOOCA|SP|SAO PAULO
28|STO AMARO|SP|SAO PAULO
29|RECIFE|PE|RECIFE
30|CIDADE JARDIM|SP|SAO PAULO
33|CUMBICA|SP|GUARULHOS
34|AG. ITAIM|SP|SAO PAULO
35|LONDRINA|PR|LONDRINA
36|GOIANIA|GO|GOIANIA
37|FORTALEZA|CE|FORTALEZA
38|AGENCIA PORTAO|PR|CURITIBA
39|CAXIAS DO SUL|RS|CAXIAS DO SUL
41|SOROCABA|SP|SOROCABA
42|PIRACICABA|SP|PIRACICABA
43|CAMPO GRANDE|MS|CAMPO GRANDE
44|MANAUS|AM|MANAUS
47|IPANEMA|RJ|RIO DE JANEIRO
48|BELEM|PA|BELEM
49|VITORIA|ES|VITORIA
51|JUNDIAI|SP|JUNDIAI
52|BRASILIA|DF|BRASILIA
53|DIADEMA|SP|DIADEMA
54|SANTANA|SP|SAO PAULO
55|ORION|SP|SAO PAULO
56|BOA VISTA|SP|SAO PAULO
57|BONSUCESSO|RJ|RIO DE JANEIRO
65|MACEIO|AL|MACEIO
67|BLUMENAU|SC|BLUMENAU
71|MATRIZ|SP|SAO PAULO
76|JARDINS|SP|SAO PAULO
83|VILA MARIA|SP|SAO PAULO
87|BRAS|SP|SAO PAULO
88|JOINVILE|SC|JOINVILLE
93|EINSTEIN|SP|SAO PAULO
95|ARICANDUVA|SP|SAO PAULO
97|PAULISTA/AUGUSTA|SP|SAO PAULO
108|LUIZ GOES|SP|SAO PAULO
112|MORUMBI|SP|SAO PAULO
115|PLATAFORMA|SP|SAO PAULO
119|JOAO PINHEIRO|MG|BELO HORIZONTE
121|SAO JOSE DO RIO PRETO|SP|SAO JOSE DO RIO PR
122|COSTA AGUIAR|SP|CAMPINAS
124|ANGELICA|SP|SAO PAULO
125|HIGIENOPOLIS|SP|SAO PAULO
126|OSASCO|SP|OSASCO
128|BARUERI|SP|BARUERI
129|SERTAOZINHO|SP|SERTAOZINHO
131|UBERLANDIA|MG|UBERLANDIA
132|AGENCIA ARARAQUARA|SP|SAO PAULO
133|MOEMA|SP|SAO PAULO
134|CAPELA DO SOCORRO|SP|SAO PAULO
135|SAO JOSE DOS CAMPOS|SP|SAO JOSE DOS CAMPO
136|NOVO HAMBURGO|RS|NOVO HAMBURGO
137|FLORIANOPOLIS|SC|FLORIANOPOLIS
138|BARRA|RJ|RIO DE JANEIRO
140|TATUAPE|SP|SAO PAULO
141|ALPHAVILLE|SP|BARUERI
142|MOINHOS DE VENTO|RS|PORTO ALEGRE
144|BOA VIAGEM|PE|RECIFE
145|CUIABA|MT|CUIABA
146|BAURU|SP|BAURU
147|CRICIUMA|SC|CRICIUMA
148|CHAPECO|SC|CHAPECO
149|RIBEIRAO CENTRO|SP|RIBEIRAO PRETO
151|DUQUE DE CAXIAS|RJ|DUQUE DE CAXIAS
152|NOVA CAMPINAS|SP|CAMPINAS
153|MARINGA|PR|MARINGA
154|CASCAVEL|PR|CASCAVEL
155|NITEROI|RJ|NITEROI
157|RIO SUL|RJ|RIO DE JANEIRO
158|IGUATEMI|BA|SALVADOR
159|ALDEOTA|CE|FORTALEZA
160|BERRINI|SP|SAO PAULO
161|NATAL|RN|NATAL
162|SAVASSI|MG|BELO HORIZONTE
164|GRAçA|SP|SAO PAULO
165|GABRIEL MONTEIRO|SP|SAO PAULO
166|PACAEMBU|SP|SAO PAULO
167|SENADOR FLAQUER|SP|SANTO ANDRE
168|CORPORATE CAMPINAS|SP|CAMPINAS
169|ALTO DA BOA VISTA|SP|RIBEIRAO PRETO
171|ASSEMBLEIA|RJ|RIO DE JANEIRO
172|BATEL|PR|CURITIBA
173|CORPORATE PORTO ALEGRE|RS|PORTO ALEGRE
