  BANCO   : 033 - BANCO SANTANDER|||
|||
AGENCIA  | TITULO  | UF| PRACA DE PAGAMENTO 
2|SANTOS|SP|SANTOS
3|CATANDUVA|SP|CATANDUVA
4|BAURU|SP|BAURU
5|BRAS|SP|SAO PAULO
6|AVARE|SP|AVARE
7|CAMPO GRANDE|MS|CAMPO GRANDE
8|ARACATUBA|SP|ARACATUBA
9|FRANCA|SP|FRANCA
10|CAMPINAS|SP|CAMPINAS
11|MARILIA|SP|MARILIA
12|SANTO ANASTACIO|SP|SANTO ANASTACIO
13|LIMEIRA|SP|LIMEIRA
14|MIRASSOL|SP|MIRASSOL
15|NOVO HORIZONTE|SP|NOVO HORIZONTE
16|CACAPAVA|SP|CACAPAVA
17|ITAPETININGA|SP|ITAPETININGA
18|OURINHOS|SP|OURINHOS
19|RIBEIRAO PRETO|SP|RIBEIRAO PRETO
20|OLIMPIA|SP|OLIMPIA
21|BARRETOS|SP|BARRETOS
22|PIRAJUI|SP|PIRAJUI
23|JABOTICABAL|SP|JABOTICABAL
24|SAO CARLOS|SP|SAO CARLOS
25|IBITINGA|SP|IBITINGA
26|PIRASSUNUNGA|SP|PIRASSUNUNGA
27|BATATAIS|SP|BATATAIS
28|SAO JOAQUIM DA BARRA|SP|SAO JOAQUIM DA BAR
29|AMPARO|SP|AMPARO
30|JAU|SP|JAU
31|PALMITAL|SP|PALMITAL
32|QUATA|SP|QUATA
33|PRESIDENTE PRUDENTE|SP|PRESIDENTE PRUDENT
34|TANABI|SP|TANABI
35|ATIBAIA|SP|ATIBAIA
36|SAO JOSE DO RIO PARDO|SP|SAO JOSE DO RIO PA
37|SAO JOSE DO RIO PRETO|SP|SAO JOSE DO RIO PR
38|TUPA|SP|TUPA
39|BOTUCATU|SP|BOTUCATU
40|JUNDIAI|SP|JUNDIAI
41|PIRACICABA|SP|PIRACICABA
42|REGISTRO|SP|REGISTRO
43|ANDRADINA|SP|ANDRADINA
44|ARARAQUARA|SP|ARARAQUARA
45|TIETE|SP|TIETE
46|LINS|SP|LINS
47|MOGI-MIRIM|SP|MOGI-MIRIM
48|SAO SIMAO|SP|SAO SIMAO
49|SAO JOAO DA BOA VISTA|SP|SAO JOAO DA BOA VI
50|ITUVERAVA|SP|ITUVERAVA
51|ITAPEVA|SP|ITAPEVA
52|ESPIRITO SANTO DO PINHAL|SP|ESPIRITO SANTO DO
53|GUARATINGUETA|SP|GUARATINGUETA
54|PRESIDENTE VENCESLAU|SP|PRESIDENTE VENCESL
55|LENCOIS PAULISTA|SP|LENCOIS PAULISTA
56|TAUBATE|SP|TAUBATE
57|RIO DE JANEIRO|RJ|RIO DE JANEIRO
58|PENAPOLIS|SP|PENAPOLIS
59|RIO CLARO|SP|RIO CLARO
60|S.BERNARDO DO CAMPO|SP|SAO BERNARDO DO CA
