  BANCO   : 748 - BANCO COOPERATIVO SICREDI S.A.|||
|||
AGENCIA  | TITULO  | UF| PRACA DE PAGAMENTO 
1|PORTO ALEGRE|RS|PORTO ALEGRE
2|ALEGRETE|RS|ALEGRETE
3|SANTO ANGELO|RS|SANTO ANGELO
4|SANTA MARIA|RS|SANTA MARIA
5|PASSO FUNDO|RS|PASSO FUNDO
6|PELOTAS|RS|PELOTAS
13|PARANAVAI|PR|PARANAVAI
90|BANCO SICREDI - SEDE|RS|PORTO ALEGRE
100|AG.PORTO ALEGRE MATRIZ|RS|PORTO ALEGRE
101|SICREDI PIONEIRA|RS|NOVA PETROPOLIS
102|SICREDI SICREDIJUSTICA|RS|PORTO ALEGRE
103|CANDELARIA|RS|CANDELARIA
104|SICREDI FECOMERCIO NORDESTE|RS|CAXIAS DO SUL
105|SICREDI SICREDIMP|RS|PORTO ALEGRE
106|SICREDI PA AJURIS RS|RS|PORTO ALEGRE
109|SICREDI ROLANTE|RS|ROLANTE
116|SICREDI METROPOLIS|RS|PORTO ALEGRE
119|SICREDI TEUTONIA|RS|TEUTONIA
121|SICREDI EMPREENDEDORES|RS|PORTO ALEGRE
131|SICREDI COOABCRED-RS|RS|PORTO ALEGRE
132|SICREDI APRESUL|RS|PORTO ALEGRE
136|SICREDI ENCANTADO|RS|ENCANTADO
140|SICREDI FEECRED|RS|NOVO HAMBURGO
155|SICREDI CENTRO LESTE RS|RS|CACHOEIRA DO SUL
156|SICREDI SANTA CRUZ DO SUL|RS|SANTA CRUZ DO SUL
157|SICREDI POL RS/SC|RS|PORTO ALEGRE
167|SICREDI CARLOS BARBOSA|RS|CARLOS BARBOSA
179|SICREDI LAJEADO|RS|LAJEADO
180|SICREDI SICREDISERGS|RS|PORTO ALEGRE
185|SICREDI MIL RS|RS|PORTO ALEGRE
200|PASSO FUNDO|RS|PASSO FUNDO
202|SICREDI COOPERUCS|RS|CAXIAS DO SUL
211|SICREDI ALTO JACUI|RS|NAO-ME-TOQUE
214|SICREDI COLORADO|RS|COLORADO
217|SICREDI UNIESTADOS|RS|ERECHIM
218|SICREDI ESPUMOSO|RS|ESPUMOSO
221|SICREDI SUL MINAS RS/MG|RS|ESTACAO
222|SICREDI IBIRUBA|RS|IBIRUBA
226|SICREDI  ALIANÇA RS/SC|RS|MARAU
228|SICREDI PASSO FUNDO|RS|PASSO FUNDO
229|SICREDI PALMEIRA DAS MISSOES|RS|PALMEIRA DAS MISSO
230|SICREDI ALTO URUGUAI RS/SC/MG|RS|RODEIO BONITO
233|CHAPADA|RS|CHAPADA
236|ANTA GORDA|RS|ANTA GORDA
244|SICREDI INT ROTA TERRAS RS/MG|RS|TAPERA
247|SICREDI BOTUCARAI RS/MG|RS|SOLEDADE
258|SICREDI REG DA PROD RS/SC/MG|RS|SARANDI
259|SICREDI IBIRAIARAS RS/MG|RS|IBIRAIARAS
267|PARAI|RS|PARAI
268|SICREDI ALTOS DA SERRA|RS|TAPEJARA
269|JACUTINGA|RS|JACUTINGA
271|SANANDUVA|RS|SANANDUVA
278|FREDERICO WESTPHALEN|RS|FREDERICO WESTPHAL
300|SANTO ANGELO|RS|SANTO ANGELO
304|SICREDI PANAMBI|RS|PANAMBI
306|SICREDI NOROESTE|RS|TRES DE MAIO
307|SICREDI CERRO LARGO|RS|CERRO LARGO
313|SICREDI RAIZES RS/SC/MG|RS|CAMPO NOVO
315|CRUZ ALTA|RS|CRUZ ALTA
333|SICREDI PLANALTO|RS|SANTA BARBARA DO S
335|SICREDI SANTA ROSA|RS|SANTA ROSA
338|SICREDI MISSOES|RS|SANTO ANGELO
339|SAO BORJA|RS|SAO BORJA
341|SAO LUIZ GONZAGA|RS|SAO LUIZ GONZAGA
353|TRES DE MAIO|RS|TRES DE MAIO
361|SICREDI DAS CULTURAS RS/MG|RS|IJUI
370|SICREDI SANTO AUGUSTO|RS|SANTO AUGUSTO
373|SICREDI AJURICABA|RS|AJURICABA
376|TENENTE PORTELA|RS|TENENTE PORTELA
400|SANTA MARIA|RS|SANTA MARIA
403|SICREDI CENTRO SERRA|RS|AGUDO
420|SICREDI FAXINAL DO SOTURNO|RS|FAXINAL DO SOTURNO
424|JAGUARI|RS|JAGUARI
425|JULIO DE CASTILHOS|RS|JULIO DE CASTILHOS
427|SICREDI NOVA PALMA|RS|NOVA PALMA
434|SICREDI SANTA MARIA|RS|SANTA MARIA
437|SICREDI VALE DO JAGUARI|RS|SANTIAGO
442|SICREDI SAO SEPE|RS|SAO SEPE
443|SOBRADINHO|RS|SOBRADINHO
445|TUPANCIRETA|RS|TUPANCIRETA
449|SICREDI CACAPAVA DO SUL|RS|CACAPAVA DO SUL
455|CERRO BRANCO|RS|CERRO BRANCO
500|ALEGRETE|RS|ALEGRETE
512|SICREDI SUDOESTE|RS|ALEGRETE
523|SICREDI ITAQUI|RS|ITAQUI
531|ROSARIO DO SUL|RS|ROSARIO DO SUL
600|PELOTAS|RS|PELOTAS
651|SICREDI BAGE|RS|BAGE
663|SICREDI ZONA SUL|RS|PELOTAS
700|AG.CURITIBA|PR|CURITIBA
702|SICREDI ASTORGA|PR|ASTORGA
703|SICREDI GUARAPUAVA|PR|GUARAPUAVA
704|SICREDI TOLEDO|PR|TOLEDO
708|SICREDI APUCARANA|PR|APUCARANA
710|SICREDI MEDIANEIRA|PR|MEDIANEIRA
715|SICREDI MAL.CANDIDO RONDON|PR|MARECHAL CANDIDO R
717|SICREDI CAMBARA|PR|CAMBARA
718|SICREDI MARINGA|PR|MARINGA
719|SICREDI CENTRO SUL PR/SC/RJ|PR|PRUDENTOPOLIS
720|SICREDI JACAREZINHO|PR|SANTO ANTONIO DA P
