 BANCO   : 366 - BANCO SOCIETE GENERALE BRASIL S.A. |||
                                                                            |||
AGENCIA  | TITULO  | UF| PRACA DE PAGAMENTO 
1|MATRIZ|SP|SAO PAULO
2|RIO DE JANEIRO|RJ|RIO DE JANEIRO
3|CAMPINAS|SP|CAMPINAS
9|BELO HORIZONTE|MG|BELO HORIZONTE
10|CURITIBA|PR|CURITIBA
11|SANTO ANDRE|SP|SANTO ANDRE
12|UBERLANDIA|MG|UBERLANDIA
13|BLUMENAU|SC|BLUMENAU
14|RIBEIRAO PRETO|SP|RIBEIRAO PRETO
15|CAXIAS DO SUL|RS|CAXIAS DO SUL
16|SAO BERNARDO DO CAMPO|SP|SAO BERNARDO DO CA
17|SANTO AMARO|SP|SAO PAULO
                                                                            |||
