 BANCO   : 084 - CC UNIPRIME NORTE DO PARANA|||
|||
AGENCIA  | TITULO  | UF| PRACA DE PAGAMENTO 
1|LONDRINA|PR|LONDRINA
2|MARINGA|PR|MARINGA
3|APUCARANA|PR|APUCARANA
4|ARAPONGAS|PR|ARAPONGAS
5|NORTE PIONEIRO|PR|JACAREZINHO
6|CORNELIO PROCOPIO|PR|CORNELIO PROCOPIO
7|UMUARAMA|PR|UMUARAMA
8|CIANORTE|PR|CIANORTE
9|CAMPO MOURAO|PR|CAMPO MOURAO
10|PARANAVAI|PR|PARANAVAI
11|IVAIPORA|PR|IVAIPORA
12|SANTO ANTONIO DA PLATINA|PR|SANTO ANTONIO DA P
13|ROLANDIA|PR|ROLANDIA
14|PARANAGUA|PR|PARANAGUA
15|CURITIBA|PR|CURITIBA
16|AGENCIA EMPRESARIAL LONDRINA|PR|LONDRINA
17|MARILIA|SP|MARILIA
18|PLATAFORMA PJ|PR|LONDRINA
19|CAMBE|PR|CAMBE
20|BAURU|SP|BAURU
21|PAC SOROCABA|SP|SOROCABA
22|PAC RIBEIRAO PRETO|SP|RIBEIRAO PRETO
23|PAC PLAT NOROESTE PARANA|PR|MARINGA
24|PAC CURITIBA JUVEVE|PR|CURITIBA
25|PAC CAMPINAS SP|SP|CAMPINAS
26|PAC JUNDIAI SP|SP|JUNDIAI
27|PAC SAO JOSE DO RIO PRETO|SP|SAO JOSE DO RIO PR
28|PIRACICABA|SP|PIRACICABA
