BANCO: 099 - UNIPRIME CENTRAL|||
|||
AGENCIA  | TITULO  | UF| PRACA DE PAGAMENTO 
3232|OSVALDO CRUZ|SP|OSVALDO CRUZ
3320|PRESIDENTE PRUDENTE|SP|PRESIDENTE PRUDENT
4101|PIONEIRA DO PARANA|PR|TOLEDO
4102|ASSIS CHATEAUBRIAND|PR|ASSIS CHATEAUBRIAN
4103|GOIOERE|PR|GOIOERE
4104|GUAIRA|PR|GUAIRA
4105|MARECHAL CANDIDO RONDON|PR|MARECHAL CANDIDO R
4106|MEDIANEIRA|PR|MEDIANEIRA
4107|PALOTINA|PR|PALOTINA
4108|UBIRATA|PR|UBIRATA
4109|SANTA HELENA|PR|SANTA HELENA
4110|MUNDO NOVO|MS|MUNDO NOVO
4201|OESTE DO PARANA|PR|CASCAVEL
4202|FOZ DO IGUAÇU|PR|FOZ DO IGUACU
4203|PAC FRANCISCO BELTRAO|PR|FRANCISCO BELTRAO
4204|PAC MARANHÃO|PR|CASCAVEL
4300|AGÊNCIA DIGITAL|MS|CAMPO GRANDE
4301|CAMPO GRANDE|MS|CAMPO GRANDE
4302|AQUIDAUANA|MS|AQUIDAUANA
4303|CORUMBA|MS|CORUMBA
4304|SANTA FE|MS|CAMPO GRANDE
4305|TRES LAGOAS|MS|TRES LAGOAS
4306|AFONSO PENA|MS|CAMPO GRANDE
4307|PLATAFORMA PJ|MS|CAMPO GRANDE
4308|RONDONOPOLIS|MT|RONDONOPOLIS
4309|SORRISO - MT|MT|SORRISO
4310|LUCAS DO RIO VERDE - MT|MT|LUCAS DO RIO VERDE
4401|IGUAÇU|PR|PATO BRANCO
4402|GUARAPUAVA|PR|GUARAPUAVA
4403|IRATI|PR|IRATI
4404|PALMAS|PR|PALMAS
4405|CHAPECO SC|SC|CHAPECO
4406|CONCORDIA - SC|SC|CONCORDIA
4407|SAO MIGUEL DO OESTE - SC|SC|SAO MIGUEL D'OESTE
4408|SANTOS DUMONT|PR|PONTA GROSSA
4409|CASTRO|PR|CASTRO
4410|PAULA XAVIER|PR|PONTA GROSSA
4411|TELÊMACO BORBA|PR|TELEMACO BORBA
4501|DOURADOS|MS|DOURADOS
4502|NOVA ANDRADINA|MS|NOVA ANDRADINA
4601|CAMPOS GERAIS|PR|PONTA GROSSA
4602|CASTRO|PR|CASTRO
4603|PAULA XAVIER|PR|PONTA GROSSA
4604|TELEMACO BORBA|PR|TELEMACO BORBA
4701|FRANCISCO BELTRAO|PR|FRANCISCO BELTRAO
|||
|||
|||
|||
|||
|||
|||
|||
    4801    UNIPRIME CENTRAL                         PR  LONDRINA               |||
|||
                                                                                |||
                                                                                |||
                                                                                |||
                                                                                |||
                                                                                |||
                                                                                |||
                                                                                |||
                                                                                |||
                                                                                |||
                                                                                |||
                                                                                |||
                                                                                |||
                                                                                |||
                                                                                |||
  PF1=AJUDA PF2=DETALHA PF3=SAI PF7=RECUA PF12=RETORNA                          |||
                                                                                |||
